,type,id,class,time_100avg,cost_100avg,fails_100total,visited,repeated,explored
mazes/dense/1a,dense,1,a,0.22713679000000003,-82.9278350515464,0.03,47.82,2952.18,60.86
mazes/dense/1b,dense,1,b,0.2417362649999997,-81.91,0.0,38.42,2961.58,48.6
mazes/dense/1c,dense,1,c,0.2192743219999997,-422.85714285714283,0.79,20.82,2979.18,24.76
mazes/dense/2a,dense,2,a,0.20920089799999958,2.0707070707070705,0.01,41.75,2958.25,51.21
mazes/dense/2b,dense,2,b,0.2226127209999997,-121.48235294117647,0.15,65.13,2934.87,78.19
mazes/dense/2c,dense,2,c,0.22363389499999953,-21.78787878787879,0.01,56.44,2943.56,67.33
mazes/dense/3a,dense,3,a,0.25844806399999926,-54.07142857142857,0.02,39.96,2960.04,49.8
mazes/dense/3b,dense,3,b,0.20235256699999923,7.47,0.0,40.57,2959.43,52.36
mazes/dense/3c,dense,3,c,0.23033142999999912,0.0,1.0,26.02,2973.98,32.63
mazes/dense/4a,dense,4,a,0.23164450999999872,72.08080808080808,0.01,62.49,2937.51,74.51
mazes/dense/4b,dense,4,b,0.23069317400000044,71.43,0.0,60.07,2939.93,73.74
mazes/dense/4c,dense,4,c,0.21574391199999723,0.0,1.0,16.9,2983.1,20.76
mazes/dense/5a,dense,5,a,0.25411183499999596,25.31,0.0,62.1,2937.9,76.46
mazes/dense/5b,dense,5,b,0.22908941199999616,30.347368421052632,0.05,52.79,2947.21,64.39
mazes/dense/5c,dense,5,c,0.22984184600000104,-67.8,0.0,31.55,2968.45,38.54
mazes/dense/6a,dense,6,a,0.2283636370000022,-162.17,0.0,50.63,2949.37,61.53
mazes/dense/6b,dense,6,b,0.2159591300000011,14.483516483516484,0.09,43.07,2956.93,51.93
mazes/dense/6c,dense,6,c,0.2318266590000036,-212.21,0.0,47.92,2952.08,58.99
mazes/dense/7a,dense,7,a,0.22973578699999678,-304.64444444444445,0.1,58.02,2941.98,70.32
mazes/dense/7b,dense,7,b,0.3168472409999993,33.16,0.0,54.44,2945.56,65.87
mazes/dense/7c,dense,7,c,0.2868948319999987,-521.1808510638298,0.06,34.37,2965.63,41.92
mazes/dense/8a,dense,8,a,0.3010683420000032,6.03,0.0,56.11,2943.89,69.92
mazes/dense/8b,dense,8,b,0.23960271299999816,-83.71,0.0,55.12,2944.88,67.78
mazes/dense/8c,dense,8,c,0.24461283600000228,-561.8311688311688,0.23,33.39,2966.61,41.17
mazes/dense/9a,dense,9,a,0.24093883899999924,-56.24,0.0,59.64,2940.36,71.57
mazes/dense/9b,dense,9,b,0.22468516099999875,55.51685393258427,0.11,56.3,2943.7,68.38
mazes/dense/9c,dense,9,c,0.229039551999997,37.75,0.0,41.54,2958.46,50.49
mazes/dense/10a,dense,10,a,0.25312808099998846,-128.57142857142858,0.02,49.23,2950.77,60.3
mazes/dense/10b,dense,10,b,0.24504770999999892,-84.42,0.0,51.74,2948.26,62.37
mazes/dense/10c,dense,10,c,0.21260921300000518,-8.04109589041096,0.27,37.11,2962.89,47.92
mazes/sparse/1a,sparse,1,a,0.23012535599999978,-213.86170212765958,0.06,47.84,2952.16,60.89
mazes/sparse/1b,sparse,1,b,0.2534081539999977,-88.02,0.0,39.02,2960.98,49.11
mazes/sparse/1c,sparse,1,c,0.23170980799999483,-524.3703703703703,0.73,22.86,2977.14,27.22
mazes/sparse/2a,sparse,2,a,0.2172284710000031,-86.37755102040816,0.02,40.97,2959.03,50.24
mazes/sparse/2b,sparse,2,b,0.2347391809999999,-435.86813186813185,0.09,65.56,2934.44,78.57
mazes/sparse/2c,sparse,2,c,0.23282962099999963,-226.78571428571428,0.02,56.31,2943.69,67.76
mazes/sparse/3a,sparse,3,a,0.26657932000000417,-80.69,0.0,40.63,2959.37,50.54
mazes/sparse/3b,sparse,3,b,0.21195660399999725,-185.95,0.0,40.45,2959.55,52.43
mazes/sparse/3c,sparse,3,c,0.23120894300000258,0.0,1.0,25.86,2974.14,32.45
mazes/sparse/4a,sparse,4,a,0.24563966799999776,-205.99,0.0,61.82,2938.18,73.8
mazes/sparse/4b,sparse,4,b,0.24167727899999136,-188.57,0.0,60.24,2939.76,74.31
mazes/sparse/4c,sparse,4,c,0.21866751199999498,0.0,1.0,15.96,2984.04,19.54
mazes/sparse/5a,sparse,5,a,0.24581784699999956,-252.34,0.0,61.63,2938.37,75.89
mazes/sparse/5b,sparse,5,b,0.24029386200001226,-268.7448979591837,0.02,52.62,2947.38,64.15
mazes/sparse/5c,sparse,5,c,0.24970555200000036,-99.56,0.0,31.28,2968.72,38.4
mazes/sparse/6a,sparse,6,a,0.23641005699999368,-313.92,0.0,50.75,2949.25,61.4
mazes/sparse/6b,sparse,6,b,0.21287189299999681,-137.02247191011236,0.11,42.22,2957.78,51.05
mazes/sparse/6c,sparse,6,c,0.23297846400000025,-347.74,0.0,47.79,2952.21,58.76
mazes/sparse/7a,sparse,7,a,0.23731036199999836,-472.61538461538464,0.09,56.97,2943.03,68.87
mazes/sparse/7b,sparse,7,b,0.23846212399999103,-179.62626262626262,0.01,54.69,2945.31,66.51
mazes/sparse/7c,sparse,7,c,0.23619590399999651,-650.1358024691358,0.19,32.33,2967.67,39.53
mazes/sparse/8a,sparse,8,a,0.27463812699999834,-157.89,0.0,57.29,2942.71,71.29
mazes/sparse/8b,sparse,8,b,0.23366565899998476,-255.33,0.0,57.71,2942.29,70.82
mazes/sparse/8c,sparse,8,c,0.23757476800001315,-705.280487804878,0.18,32.97,2967.03,40.53
mazes/sparse/9a,sparse,9,a,0.24239827199999125,-229.63,0.0,57.99,2942.01,69.56
mazes/sparse/9b,sparse,9,b,0.23047143599998435,-323.8695652173913,0.08,56.8,2943.2,69.0
mazes/sparse/9c,sparse,9,c,0.2310389270000087,-70.58,0.0,41.73,2958.27,50.63
mazes/sparse/10a,sparse,10,a,0.23692211200000202,-199.53,0.0,49.91,2950.09,60.96
mazes/sparse/10b,sparse,10,b,0.23374810799998386,-311.05,0.0,53.16,2946.84,63.92
