,type,id,class,time_100avg,cost_100avg,fails_100total,visited,repeated,explored
mazes/dense/1a,dense,1,a,0.20455575899999076,-292.0975609756098,0.18,35.62,2964.38,46.75
mazes/dense/1b,dense,1,b,0.22504243499999801,-233.64,0.0,33.44,2966.56,43.7
mazes/dense/1c,dense,1,c,0.2056649359999983,0.0,1.0,10.5,2989.5,12.52
mazes/dense/2a,dense,2,a,0.19129530700001623,-14.36734693877551,0.02,34.27,2965.73,42.86
mazes/dense/2b,dense,2,b,0.21452289400001517,-967.45,0.8,35.58,2964.42,43.89
mazes/dense/2c,dense,2,c,0.21155852800001185,-442.2258064516129,0.07,48.74,2951.26,59.38
mazes/dense/3a,dense,3,a,0.2554785120000042,-45.29896907216495,0.03,29.11,2970.89,37.34
mazes/dense/3b,dense,3,b,0.20011606400000345,-226.95652173913044,0.08,29.67,2970.33,40.08
mazes/dense/3c,dense,3,c,0.211534244999998,0.0,1.0,14.59,2985.41,19.39
mazes/dense/4a,dense,4,a,0.21584595999998327,-399.39784946236557,0.07,49.67,2950.33,60.08
mazes/dense/4b,dense,4,b,0.2230263049999985,-314.0108695652174,0.08,54.02,2945.98,67.23
mazes/dense/4c,dense,4,c,0.18467619600000262,0.0,1.0,9.13,2990.87,11.31
mazes/dense/5a,dense,5,a,0.2269171639999945,-173.14285714285714,0.02,56.48,2943.52,70.99
mazes/dense/5b,dense,5,b,0.21434501899999986,-224.04109589041096,0.27,48.75,2951.25,59.92
mazes/dense/5c,dense,5,c,0.20897334200001297,-236.28865979381445,0.03,24.5,2975.5,31.45
mazes/dense/6a,dense,6,a,0.2087872959999777,-615.1428571428571,0.51,32.38,2967.62,39.44
mazes/dense/6b,dense,6,b,0.19979351700000733,-7.956989247311828,0.07,37.69,2962.31,46.01
mazes/dense/6c,dense,6,c,0.2119973300000129,-805.9305555555555,0.28,33.69,2966.31,42.01
mazes/dense/7a,dense,7,a,0.2166821009999785,-310.83870967741933,0.69,40.46,2959.54,49.21
mazes/dense/7b,dense,7,b,0.21671740499999942,-241.8989898989899,0.01,44.74,2955.26,56.25
mazes/dense/7c,dense,7,c,0.20739684900001065,-425.68,0.75,20.26,2979.74,25.45
mazes/dense/8a,dense,8,a,0.24594637499998498,-375.92929292929296,0.01,48.21,2951.79,60.93
mazes/dense/8b,dense,8,b,0.21207347999998546,-220.51020408163265,0.02,43.35,2956.65,54.64
mazes/dense/8c,dense,8,c,0.20984563200002185,-547.2916666666666,0.76,18.0,2982.0,23.81
mazes/dense/9a,dense,9,a,0.21769473999999944,-348.8723404255319,0.06,44.8,2955.2,54.61
mazes/dense/9b,dense,9,b,0.2055842040000016,-344.0625,0.2,48.8,2951.2,58.79
mazes/dense/9c,dense,9,c,0.20715107500000385,45.09090909090909,0.01,29.6,2970.4,37.13
mazes/dense/10a,dense,10,a,0.20672389599999633,-528.0434782608696,0.08,40.65,2959.35,51.15
mazes/dense/10b,dense,10,b,0.21033065900001474,-419.7,0.1,43.36,2956.64,53.37
mazes/dense/10c,dense,10,c,0.19138148899998214,-345.39130434782606,0.54,26.2,2973.8,35.97
mazes/sparse/1a,sparse,1,a,0.197544622000014,-345.4235294117647,0.15,36.67,2963.33,48.21
mazes/sparse/1b,sparse,1,b,0.22386109200003376,-236.77,0.0,33.81,2966.19,43.97
mazes/sparse/1c,sparse,1,c,0.19938310899998668,0.0,1.0,9.93,2990.07,11.94
mazes/sparse/2a,sparse,2,a,0.1914854779999996,-108.32978723404256,0.06,35.03,2964.97,43.89
mazes/sparse/2b,sparse,2,b,0.21174219799996535,-778.9047619047619,0.79,35.49,2964.51,43.79
mazes/sparse/2c,sparse,2,c,0.21242484899995362,-632.4105263157895,0.05,48.79,2951.21,59.55
mazes/sparse/3a,sparse,3,a,0.24060919900002317,-39.94,0.0,29.37,2970.63,37.66
mazes/sparse/3b,sparse,3,b,0.18710006399999657,-336.20212765957444,0.06,29.54,2970.46,40.02
mazes/sparse/3c,sparse,3,c,0.21281431099999282,0.0,1.0,15.21,2984.79,19.86
mazes/sparse/4a,sparse,4,a,0.21978647999996156,-494.7684210526316,0.05,49.45,2950.55,59.9
mazes/sparse/4b,sparse,4,b,0.2164604790000294,-472.6701030927835,0.03,53.56,2946.44,66.8
mazes/sparse/4c,sparse,4,c,0.18582041700002264,0.0,1.0,10.25,2989.75,12.67
mazes/sparse/5a,sparse,5,a,0.2266253949999782,-397.3939393939394,0.01,56.68,2943.32,71.09
mazes/sparse/5b,sparse,5,b,0.20780287200001568,-684.7464788732394,0.29,46.08,2953.92,56.62
