type,id,time_100avg,cost_100avg,fails_100total,visited,repeated,explored
dense,1,0.22504243499999801,0.0,1.0,35.62,2989.5,46.75
dense,2,0.21452289400001517,-14.36734693877551,0.8,48.74,2965.73,59.38
dense,3,0.2554785120000042,0.0,1.0,29.67,2985.41,40.08
dense,4,0.2230263049999985,0.0,1.0,54.02,2990.87,67.23
dense,5,0.2269171639999945,-173.14285714285714,0.27,56.48,2975.5,70.99
dense,6,0.2119973300000129,-7.956989247311828,0.51,37.69,2967.62,46.01
dense,7,0.21671740499999942,-241.8989898989899,0.75,44.74,2979.74,56.25
dense,8,0.24594637499998498,-220.51020408163265,0.76,48.21,2982.0,60.93
dense,9,0.21769473999999944,45.09090909090909,0.2,48.8,2970.4,58.79
dense,10,0.21033065900001474,-345.39130434782606,0.54,43.36,2973.8,53.37
sparse,1,0.22386109200003376,0.0,1.0,36.67,2990.07,48.21
sparse,2,0.21242484899995362,-108.32978723404256,0.79,48.79,2964.97,59.55
sparse,3,0.24060919900002317,0.0,1.0,29.54,2984.79,40.02
sparse,4,0.21978647999996156,0.0,1.0,53.56,2989.75,66.8
sparse,5,0.2266253949999782,-280.5151515151515,0.29,56.68,2974.75,71.09
sparse,6,0.211232323000022,-182.7263157894737,0.41,37.28,2966.33,45.62
sparse,7,0.22137054799999079,-420.9484536082474,0.76,43.56,2978.99,54.9
sparse,8,0.244520722999996,-280.4479166666667,0.83,48.77,2983.0,61.48
sparse,9,0.2172473020000416,-37.78350515463917,0.2,46.41,2969.8,56.0
sparse,10,0.214109284999995,-593.5405405405405,0.63,43.08,2974.63,53.15
