type,id,time_100avg,cost_100avg,fails_100total,visited,repeated,explored
dense,1,0.20455575899999076,-292.0975609756098,0.0,10.5,2964.38,12.52
dense,2,0.19129530700001623,-967.45,0.02,34.27,2951.26,42.86
dense,3,0.20011606400000345,-226.95652173913044,0.03,14.59,2970.33,19.39
dense,4,0.18467619600000262,-399.39784946236557,0.07,9.13,2945.98,11.31
dense,5,0.20897334200001297,-236.28865979381445,0.02,24.5,2943.52,31.45
dense,6,0.19979351700000733,-805.9305555555555,0.07,32.38,2962.31,39.44
dense,7,0.20739684900001065,-425.68,0.01,20.26,2955.26,25.45
dense,8,0.20984563200002185,-547.2916666666666,0.01,18.0,2951.79,23.81
dense,9,0.2055842040000016,-348.8723404255319,0.01,29.6,2951.2,37.13
dense,10,0.19138148899998214,-528.0434782608696,0.08,26.2,2956.64,35.97
sparse,1,0.197544622000014,-345.4235294117647,0.0,9.93,2963.33,11.94
sparse,2,0.1914854779999996,-778.9047619047619,0.05,35.03,2951.21,43.79
sparse,3,0.18710006399999657,-336.20212765957444,0.0,15.21,2970.46,19.86
sparse,4,0.18582041700002264,-494.7684210526316,0.03,10.25,2946.44,12.67
sparse,5,0.20780287200001568,-684.7464788732394,0.01,25.25,2943.32,32.24
sparse,6,0.19452494000001025,-892.5138888888889,0.05,33.67,2962.72,41.87
sparse,7,0.2078551680000055,-736.1290322580645,0.03,21.01,2956.44,26.37
sparse,8,0.2126123420000158,-647.7058823529412,0.0,17.0,2951.23,22.74
sparse,9,0.20849749099998915,-799.9625,0.03,30.2,2953.59,37.93
sparse,10,0.19005281500003093,-665.2359550561798,0.07,25.37,2956.92,35.09
