type,id,time_100avg,cost_100avg,fails_100total,visited,repeated,explored
dense,1,0.3748083839999867,16.092105263157894,0.38,202.8,1805.51,223.06
dense,2,0.40285647699998206,187.31578947368422,0.62,175.06,1829.52,190.37
dense,3,0.4006056159999889,127.28048780487805,0.48,185.36,1820.44,202.9
dense,4,0.40418481700002074,99.34482758620689,0.63,188.41,1815.98,205.98
dense,5,0.3844181420000177,41.263888888888886,0.53,191.82,1815.33,209.7
dense,6,0.3896348769999986,143.82608695652175,0.7,182.12,1819.21,198.78
dense,7,0.38602382000000945,79.11764705882354,0.42,186.19,1822.38,203.35
dense,8,0.384257470999969,151.73529411764707,0.6,180.68,1821.93,198.27
dense,9,0.4091316830000278,88.87096774193549,0.65,187.81,1817.66,204.6
dense,10,0.40378001900001437,212.31578947368422,0.44,178.86,1827.14,195.3
sparse,1,0.3824148639999976,676.2545454545455,0.45,201.29,1802.29,221.91
sparse,2,0.3895657000000165,864.8461538461538,0.61,173.83,1827.88,189.49
sparse,3,0.3877147990000185,756.0727272727273,0.45,182.33,1821.4,199.38
sparse,4,0.3906869319999714,855.5121951219512,0.63,186.97,1819.1,205.04
sparse,5,0.3838535619999902,736.829268292683,0.59,191.17,1812.56,209.6
sparse,6,0.38288329999997583,816.0357142857143,0.68,182.29,1824.6,199.2
sparse,7,0.38273481199999426,869.0714285714286,0.44,190.12,1817.69,207.42
sparse,8,0.3845327389999693,791.8070175438596,0.59,183.2,1821.16,200.41
sparse,9,0.3810874609999655,952.025641025641,0.61,188.19,1815.76,205.49
sparse,10,0.3914133489999631,775.875,0.44,178.75,1826.6,194.78
