type,id,time_100avg,cost_100avg,fails_100total,visited,repeated,explored
dense,1,0.3745652780000205,-9.128571428571428,0.24,194.49,1797.2,214.48
dense,2,0.37875582900000837,109.23076923076923,0.37,170.48,1824.94,186.16
dense,3,0.3898320109999986,9.423076923076923,0.18,179.56,1814.64,196.31
dense,4,0.3817655849999892,19.594594594594593,0.42,184.02,1811.59,202.1
dense,5,0.375800674000011,6.808510638297872,0.28,184.67,1808.18,202.95
dense,6,0.38332533699998295,34.72222222222222,0.31,180.79,1817.88,197.71
dense,7,0.3845398849999947,20.432835820895523,0.32,177.62,1813.81,194.87
dense,8,0.3777779989999726,8.85,0.25,178.07,1819.32,195.09
dense,9,0.3757619939999904,35.65714285714286,0.38,182.34,1812.19,199.89
dense,10,0.3804388769999923,123.14285714285714,0.38,172.86,1821.14,189.03
sparse,1,0.37577727099998354,509.3728813559322,0.27,197.71,1798.71,218.08
sparse,2,0.374902378999991,808.6666666666666,0.37,172.12,1826.17,187.71
sparse,3,0.3785273999999981,500.3380281690141,0.29,178.6,1817.67,195.27
sparse,4,0.37638526300000646,521.1621621621622,0.41,180.9,1813.03,198.45
sparse,5,0.37435215599999083,577.3333333333334,0.25,187.44,1808.83,204.86
sparse,6,0.3808730870000272,778.1818181818181,0.44,175.4,1817.71,191.85
sparse,7,0.38194466699999796,606.6379310344828,0.42,182.31,1809.88,199.16
sparse,8,0.37835270199998833,451.45,0.2,178.84,1816.8,195.59
sparse,9,0.375601613000008,607.6315789473684,0.24,184.24,1811.81,201.59
sparse,10,0.3760599499999989,725.25,0.42,173.4,1821.25,189.92
