type,id,time_100avg,cost_100avg,fails_100total,visited,repeated,explored
dense,1,0.1628115309999999,-132.65079365079364,0.37,228.88,2776.18,257.92
dense,2,0.16248355599999975,-364.38235294117646,0.51,198.26,2806.63,218.79
dense,3,0.1656644029999991,-146.125,0.27,211.15,2793.66,239.17
dense,4,0.16910073999999953,-172.6727272727273,0.45,219.2,2786.05,244.09
dense,5,0.16518265499999957,14.615384615384615,0.48,221.25,2787.29,246.96
dense,6,0.17120408499999995,-365.3030303030303,0.52,211.26,2795.43,238.46
dense,7,0.16658774400000254,-170.9848484848485,0.34,213.8,2786.83,237.38
dense,8,0.1655943389999959,-91.4,0.4,210.02,2793.56,233.8
dense,9,0.15942485900000292,-198.93617021276594,0.53,212.37,2792.28,239.1
dense,10,0.15736167399999887,-289.61764705882354,0.32,203.61,2798.86,229.74
sparse,1,0.16303263799998888,-765.9594594594595,0.39,214.3,2789.52,244.11
sparse,2,0.15899563000000172,-1079.8064516129032,0.46,190.95,2814.7,212.66
sparse,3,0.17067526900000415,-694.4470588235295,0.47,197.17,2809.23,225.68
sparse,4,0.17329611699999417,-790.081081081081,0.63,201.09,2804.58,225.96
sparse,5,0.1651294180000025,-732.0933333333334,0.52,207.83,2803.98,233.78
sparse,6,0.17036903799999892,-1040.5737704918033,0.66,197.62,2812.68,224.55
sparse,7,0.17709329800000093,-994.4528301886793,0.47,202.2,2802.22,226.7
sparse,8,0.16856283200000236,-869.7682926829268,0.46,195.77,2806.72,220.81
sparse,9,0.17107840000000352,-937.3472222222222,0.53,200.38,2802.74,227.75
sparse,10,0.17794428400000356,-1010.4722222222222,0.46,190.43,2810.63,216.91
