type,id,time_100avg,cost_100avg,fails_100total,visited,repeated,explored
dense,1,0.15908486499999996,-187.37662337662337,0.23,223.82,2771.12,253.08
dense,2,0.15792024699999999,-416.7638888888889,0.28,193.37,2801.74,215.0
dense,3,0.1628548259999998,-228.24657534246575,0.12,206.34,2788.85,233.87
dense,4,0.16305823699999877,-277.09090909090907,0.34,213.95,2780.8,238.8
dense,5,0.15524543500000249,-112.58536585365853,0.18,212.71,2778.75,238.08
dense,6,0.1624066359999989,-448.05263157894734,0.24,204.57,2788.74,230.79
dense,7,0.1646225830000003,-355.8888888888889,0.28,213.17,2786.2,236.74
dense,8,0.1579938919999995,-223.1,0.1,206.44,2789.98,230.26
dense,9,0.1544876650000026,-337.72,0.21,207.72,2787.63,234.19
dense,10,0.15124748099999918,-367.28985507246375,0.31,201.14,2796.39,227.54
sparse,1,0.15883476400000063,-1025.950819672131,0.26,210.48,2785.7,240.41
sparse,2,0.15677600400000188,-1217.3432835820895,0.33,185.3,2809.05,206.26
sparse,3,0.16248206000000437,-1263.5471698113208,0.15,190.77,2802.83,220.39
sparse,4,0.16807315000000472,-1377.1666666666667,0.42,195.42,2798.91,220.29
sparse,5,0.15634267299999124,-1287.8541666666667,0.19,196.02,2792.17,222.21
sparse,6,0.1671002200000032,-1229.5,0.28,187.32,2802.38,213.75
sparse,7,0.16995627199999036,-1339.950819672131,0.33,197.78,2797.8,222.11
sparse,8,0.16206675500000642,-1035.7407407407406,0.18,193.28,2804.23,217.62
sparse,9,0.1558557240000039,-1272.9787234042553,0.22,197.26,2799.62,223.78
sparse,10,0.15233851300000537,-1133.7407407407406,0.28,189.37,2809.57,215.61
