type,id,time_100avg,cost_100avg,fails_100total
dense,1,0.0005468373603798682,2.0,0.0
dense,2,0.0012754975002462743,15.0,0.0
dense,3,0.0004024371798732318,3.0,0.0
dense,4,0.0018140460400900339,8.0,0.0
dense,5,0.00041338130038639067,-1.0,0.0
dense,6,0.0014692339098837692,15.0,0.0
dense,7,0.001252830169905792,8.0,0.0
dense,8,0.0009282407001592219,9.0,0.0
dense,9,0.0005436270403151866,6.0,0.0
dense,10,0.0009090432796074311,9.0,0.0
sparse,1,0.0005984009796520696,2.0,0.0
sparse,2,0.0010350821699830703,15.0,0.0
sparse,3,0.0004833157801476773,3.0,0.0
sparse,4,0.0017284540000400738,8.0,0.0
sparse,5,0.0005343405895109754,-1.0,0.0
sparse,6,0.001277456649695523,15.0,0.0
sparse,7,0.0011399473704659614,8.0,0.0
sparse,8,0.001049466269541881,9.0,0.0
sparse,9,0.0005126383697643177,6.0,0.0
sparse,10,0.0010169345307076583,9.0,0.0
