type,id,time_100avg,cost_100avg,fails_100total
dense,1,0.3621038857398526,-699.0,0.0
dense,2,0.5155326096600038,-756.0,0.0
dense,3,0.2012124827196385,-223.0,0.0
dense,4,0.1625573713700578,-385.0,0.0
dense,5,0.31642145436992,-318.0,0.0
dense,6,0.5587862867696822,-903.0,0.0
dense,7,0.578019318079896,-664.0,0.0
dense,8,0.33879409528039106,-886.0,0.0
dense,9,0.6274443304399029,-1470.0,0.0
dense,10,0.4295367467799224,-797.0,0.0
sparse,1,0.47616346165035794,-166.0,0.0
sparse,2,0.44495513922011015,-162.0,0.0
sparse,3,0.33125566722010263,-222.0,0.0
sparse,4,1.3794870564401207,-188.0,0.0
sparse,5,0.10921155841017026,-109.0,0.0
sparse,6,0.7603762814199581,-138.0,0.0
sparse,7,0.4748528958702082,-218.0,0.0
sparse,8,0.45761752128004446,-201.0,0.0
sparse,9,0.15690385393972975,-98.0,0.0
sparse,10,0.5520705860001908,-162.0,0.0
