type,id,time_100avg,cost_100avg,fails_100total
dense,1,0.1946932948933924,-1055.3333333333333,0.0
dense,2,0.3083225194797463,-1178.6666666666667,0.0
dense,3,0.09075779669001349,-580.0,0.0
dense,4,0.10906709644310468,-814.0,0.0
dense,5,0.17685223693695054,-1165.3333333333333,0.0
dense,6,0.3291591567598274,-1446.3333333333333,0.0
dense,7,0.26056957950672466,-1066.0,0.0
dense,8,0.21500781671022803,-1237.6666666666667,0.0
dense,9,0.3795306955133128,-1638.3333333333333,0.0
dense,10,0.24625097381016528,-1147.3333333333333,0.0
sparse,1,0.22305136024350455,-270.6666666666667,0.0
sparse,2,0.3132070651703301,-288.3333333333333,0.0
sparse,3,0.23369557902985738,-272.0,0.0
sparse,4,0.6664307845033424,-260.6666666666667,0.0
sparse,5,0.09881387852321495,-119.33333333333333,0.0
sparse,6,0.42612653802352723,-234.66666666666666,0.0
sparse,7,0.26707903125692006,-238.66666666666666,0.0
sparse,8,0.3020915311331676,-294.3333333333333,0.0
sparse,9,0.11106930616656124,-142.0,0.0
sparse,10,0.34050362341651635,-259.0,0.0
