,type,id,class,time_1avg,cost_1avg,fails_1total,visited,repeated,explored
mazes/dense/1a,dense,1,a,6.745417939999243,108.0,0.0,0.0,0.0,0.0
mazes/dense/1b,dense,1,b,2.850925038999776,-5.0,0.0,0.0,0.0,0.0
mazes/dense/1c,dense,1,c,60.0541438629989,0.0,1.0,0.0,0.0,0.0
mazes/dense/2a,dense,2,a,60.073018518000026,0.0,1.0,0.0,0.0,0.0
mazes/dense/2b,dense,2,b,60.09477461099959,0.0,1.0,0.0,0.0,0.0
mazes/dense/2c,dense,2,c,52.56253121200098,111.0,0.0,0.0,0.0,0.0
mazes/dense/3a,dense,3,a,0.2628909429986379,-3.0,0.0,0.0,0.0,0.0
mazes/dense/3b,dense,3,b,10.896610641000734,135.0,0.0,0.0,0.0,0.0
mazes/dense/3c,dense,3,c,23.555127482999524,135.0,0.0,0.0,0.0,0.0
mazes/dense/4a,dense,4,a,60.104998734999754,0.0,1.0,0.0,0.0,0.0
mazes/dense/4b,dense,4,b,7.395409468999787,113.0,0.0,0.0,0.0,0.0
mazes/dense/4c,dense,4,c,3.0955303680002544,162.0,0.0,0.0,0.0,0.0
mazes/dense/5a,dense,5,a,34.02852174400141,143.0,0.0,0.0,0.0,0.0
mazes/dense/5b,dense,5,b,60.094379310001386,0.0,1.0,0.0,0.0,0.0
mazes/dense/5c,dense,5,c,0.19025127399982011,1.0,0.0,0.0,0.0,0.0
mazes/dense/6a,dense,6,a,60.09410148100142,0.0,1.0,0.0,0.0,0.0
mazes/dense/6b,dense,6,b,60.08432329500101,0.0,1.0,0.0,0.0,0.0
mazes/dense/6c,dense,6,c,60.07870757300043,0.0,1.0,0.0,0.0,0.0
mazes/dense/7a,dense,7,a,60.08569630200145,0.0,1.0,0.0,0.0,0.0
mazes/dense/7b,dense,7,b,60.09313795300113,0.0,1.0,0.0,0.0,0.0
mazes/dense/7c,dense,7,c,14.17437597999924,152.0,0.0,0.0,0.0,0.0
mazes/dense/8a,dense,8,a,0.37206545200024266,3.0,0.0,0.0,0.0,0.0
mazes/dense/8b,dense,8,b,60.09289727900068,0.0,1.0,0.0,0.0,0.0
mazes/dense/8c,dense,8,c,60.09473738499946,0.0,1.0,0.0,0.0,0.0
mazes/dense/9a,dense,9,a,42.11525672100106,216.0,0.0,0.0,0.0,0.0
mazes/dense/9b,dense,9,b,60.102902240998446,0.0,1.0,0.0,0.0,0.0
mazes/dense/9c,dense,9,c,1.034143419999964,94.0,0.0,0.0,0.0,0.0
mazes/dense/10a,dense,10,a,60.09986135500003,0.0,1.0,0.0,0.0,0.0
mazes/dense/10b,dense,10,b,60.10508820099858,0.0,1.0,0.0,0.0,0.0
mazes/dense/10c,dense,10,c,60.0844638840008,0.0,1.0,0.0,0.0,0.0
mazes/sparse/1a,sparse,1,a,1.6589087960001052,38.0,0.0,0.0,0.0,0.0
mazes/sparse/1b,sparse,1,b,0.8176893330000894,-5.0,0.0,0.0,0.0,0.0
mazes/sparse/1c,sparse,1,c,8.02034316299978,25.0,0.0,0.0,0.0,0.0
mazes/sparse/2a,sparse,2,a,13.940439034999144,55.0,0.0,0.0,0.0,0.0
mazes/sparse/2b,sparse,2,b,19.788702672,35.0,0.0,0.0,0.0,0.0
mazes/sparse/2c,sparse,2,c,1.6261958759987465,1.0,0.0,0.0,0.0,0.0
mazes/sparse/3a,sparse,3,a,0.1408623000006628,-3.0,0.0,0.0,0.0,0.0
mazes/sparse/3b,sparse,3,b,1.020745572001033,15.0,0.0,0.0,0.0,0.0
mazes/sparse/3c,sparse,3,c,1.2057769849998294,45.0,0.0,0.0,0.0,0.0
mazes/sparse/4a,sparse,4,a,60.11562654000045,0.0,1.0,0.0,0.0,0.0
mazes/sparse/4b,sparse,4,b,1.1322889559996838,13.0,0.0,0.0,0.0,0.0
mazes/sparse/4c,sparse,4,c,0.5581754919985542,32.0,0.0,0.0,0.0,0.0
mazes/sparse/5a,sparse,5,a,1.2576811509989057,23.0,0.0,0.0,0.0,0.0
mazes/sparse/5b,sparse,5,b,60.121603690000484,0.0,1.0,0.0,0.0,0.0
mazes/sparse/5c,sparse,5,c,0.11484295999980532,1.0,0.0,0.0,0.0,0.0
mazes/sparse/6a,sparse,6,a,1.6256992350008659,22.0,0.0,0.0,0.0,0.0
mazes/sparse/6b,sparse,6,b,12.827160853999885,3.0,0.0,0.0,0.0,0.0
mazes/sparse/6c,sparse,6,c,3.4304065670003183,16.0,0.0,0.0,0.0,0.0
mazes/sparse/7a,sparse,7,a,1.3933206559995597,33.0,0.0,0.0,0.0,0.0
mazes/sparse/7b,sparse,7,b,39.06700605300102,91.0,0.0,0.0,0.0,0.0
mazes/sparse/7c,sparse,7,c,0.6916016599989234,22.0,0.0,0.0,0.0,0.0
mazes/sparse/8a,sparse,8,a,0.06344710000121268,3.0,0.0,0.0,0.0,0.0
mazes/sparse/8b,sparse,8,b,13.876254550999874,38.0,0.0,0.0,0.0,0.0
mazes/sparse/8c,sparse,8,c,4.7001089959994715,21.0,0.0,0.0,0.0,0.0
mazes/sparse/9a,sparse,9,a,1.8789647329995205,36.0,0.0,0.0,0.0,0.0
mazes/sparse/9b,sparse,9,b,10.191627337000682,43.0,0.0,0.0,0.0,0.0
mazes/sparse/9c,sparse,9,c,0.1866670929994143,34.0,0.0,0.0,0.0,0.0
mazes/sparse/10a,sparse,10,a,1.729876745999718,-1.0,0.0,0.0,0.0,0.0
mazes/sparse/10b,sparse,10,b,6.329601725001339,32.0,0.0,0.0,0.0,0.0
mazes/sparse/10c,sparse,10,c,9.304384409000704,11.0,0.0,0.0,0.0,0.0
