,type,id,class,time_1avg,cost_1avg,fails_1total
mazes/dense/1a,dense,1,a,2.7705432469956577,-210.0,0.0
mazes/dense/1b,dense,1,b,0.9705201699980535,119.0,0.0
mazes/dense/1c,dense,1,c,3.8747691430035047,-9.0,0.0
mazes/dense/2a,dense,2,a,2.7453240439936053,-227.0,0.0
mazes/dense/2b,dense,2,b,0.321650675003184,304.0,0.0
mazes/dense/2c,dense,2,c,0.9755064330092864,296.0,0.0
mazes/dense/3a,dense,3,a,0.0433382830087794,-17.0,0.0
mazes/dense/3b,dense,3,b,0.2519985549879493,344.0,0.0
mazes/dense/3c,dense,3,c,18.533350009995047,-3685.0,0.0
mazes/dense/4a,dense,4,a,23.232262731995434,-4247.0,0.0
mazes/dense/4b,dense,4,b,0.37014302899478935,278.0,0.0
mazes/dense/4c,dense,4,c,0.38429159999941476,239.0,0.0
mazes/dense/5a,dense,5,a,0.15544374100863934,426.0,0.0
mazes/dense/5b,dense,5,b,3.708745859999908,-704.0,0.0
mazes/dense/5c,dense,5,c,0.060004928993294016,205.0,0.0
mazes/dense/6a,dense,6,a,8.412030086008599,-1653.0,0.0
mazes/dense/6b,dense,6,b,19.75477882300038,-3579.0,0.0
mazes/dense/6c,dense,6,c,2.6925896419998026,-331.0,0.0
mazes/dense/7a,dense,7,a,7.1625976459909,-2207.0,0.0
mazes/dense/7b,dense,7,b,6.550543502002256,-2258.0,0.0
mazes/dense/7c,dense,7,c,6.885462400998222,-2232.0,0.0
mazes/dense/8a,dense,8,a,0.08915687500848435,27.0,0.0
mazes/dense/8b,dense,8,b,11.1121083330072,-2566.0,0.0
mazes/dense/8c,dense,8,c,5.4342363589967135,-960.0,0.0
mazes/dense/9a,dense,9,a,1.2029680730047403,368.0,0.0
mazes/dense/9b,dense,9,b,17.305397055999492,-3505.0,0.0
mazes/dense/9c,dense,9,c,3.8898005170049146,-715.0,0.0
mazes/dense/10a,dense,10,a,0.15199599700281397,43.0,0.0
mazes/dense/10b,dense,10,b,2.8403823059925344,-213.0,0.0
mazes/dense/10c,dense,10,c,7.266001454001525,-1273.0,0.0
mazes/sparse/1a,sparse,1,a,0.8253139209991787,-201.0,0.0
mazes/sparse/1b,sparse,1,b,1.1281036290019983,-151.0,0.0
mazes/sparse/1c,sparse,1,c,1.1181398059998173,-261.0,0.0
mazes/sparse/2a,sparse,2,a,0.8028676829999313,-114.0,0.0
mazes/sparse/2b,sparse,2,b,0.11528763000387698,40.0,0.0
mazes/sparse/2c,sparse,2,c,0.8982193150004605,-410.0,0.0
mazes/sparse/3a,sparse,3,a,0.09388379400479607,-11.0,0.0
mazes/sparse/3b,sparse,3,b,0.08586393400037196,28.0,0.0
mazes/sparse/3c,sparse,3,c,4.235358767997241,-1730.0,0.0
mazes/sparse/4a,sparse,4,a,5.024078567003016,-1405.0,0.0
mazes/sparse/4b,sparse,4,b,0.10874529799912125,70.0,0.0
mazes/sparse/4c,sparse,4,c,0.1258247060031863,21.0,0.0
mazes/sparse/5a,sparse,5,a,0.111685886993655,54.0,0.0
mazes/sparse/5b,sparse,5,b,0.8958751750033116,-434.0,0.0
mazes/sparse/5c,sparse,5,c,0.033871340987388976,75.0,0.0
mazes/sparse/6a,sparse,6,a,1.745576011002413,-737.0,0.0
mazes/sparse/6b,sparse,6,b,0.874496012009331,-441.0,0.0
mazes/sparse/6c,sparse,6,c,0.8714361210004427,-395.0,0.0
mazes/sparse/7a,sparse,7,a,0.9589894289965741,-523.0,0.0
mazes/sparse/7b,sparse,7,b,1.4896323760040104,-598.0,0.0
mazes/sparse/7c,sparse,7,c,0.9170304389990633,-282.0,0.0
mazes/sparse/8a,sparse,8,a,0.023300979999476112,7.0,0.0
mazes/sparse/8b,sparse,8,b,1.4135622750036418,-698.0,0.0
mazes/sparse/8c,sparse,8,c,0.8050281390023883,-401.0,0.0
mazes/sparse/9a,sparse,9,a,0.049686328988173045,12.0,0.0
mazes/sparse/9b,sparse,9,b,3.884337541006971,-1324.0,0.0
mazes/sparse/9c,sparse,9,c,1.2557619029976195,-651.0,0.0
mazes/sparse/10a,sparse,10,a,0.054709094009012915,-1.0,0.0
mazes/sparse/10b,sparse,10,b,0.6297243099979823,-303.0,0.0
mazes/sparse/10c,sparse,10,c,1.5905670580104925,-585.0,0.0
