type,id,time_1avg,cost_1avg,fails_1total
dense,1,3.8747691430035047,119.0,0.0
dense,2,2.7453240439936053,304.0,0.0
dense,3,18.533350009995047,344.0,0.0
dense,4,23.232262731995434,278.0,0.0
dense,5,3.708745859999908,426.0,0.0
dense,6,19.75477882300038,-331.0,0.0
dense,7,7.1625976459909,-2207.0,0.0
dense,8,11.1121083330072,27.0,0.0
dense,9,17.305397055999492,368.0,0.0
dense,10,7.266001454001525,43.0,0.0
sparse,1,1.1281036290019983,-151.0,0.0
sparse,2,0.8982193150004605,40.0,0.0
sparse,3,4.235358767997241,28.0,0.0
sparse,4,5.024078567003016,70.0,0.0
sparse,5,0.8958751750033116,75.0,0.0
sparse,6,1.745576011002413,-395.0,0.0
sparse,7,1.4896323760040104,-282.0,0.0
sparse,8,1.4135622750036418,7.0,0.0
sparse,9,3.884337541006971,12.0,0.0
sparse,10,1.5905670580104925,-1.0,0.0
