type,id,time_1avg,cost_1avg,fails_1total
dense,1,2.5386108533324054,-33.333333333333336,0.0
dense,2,1.3474937173353585,124.33333333333333,0.0
dense,3,6.276228949330592,-1119.3333333333333,0.0
dense,4,7.995565786996546,-1243.3333333333333,0.0
dense,5,1.3080648433339472,-24.333333333333332,0.0
dense,6,10.286466183669594,-1854.3333333333333,0.0
dense,7,6.866201182997126,-2232.3333333333335,0.0
dense,8,5.5451671890041325,-1166.3333333333333,0.0
dense,9,7.466055215336382,-1284.0,0.0
dense,10,3.419459918998958,-481.0,0.0
sparse,1,1.0238524520003314,-204.33333333333334,0.0
sparse,2,0.6054582093347562,-161.33333333333334,0.0
sparse,3,1.4717021653341362,-571.0,0.0
sparse,4,1.7528828570017747,-438.0,0.0
sparse,5,0.3471441343281185,-101.66666666666667,0.0
sparse,6,1.1638360480040622,-524.3333333333334,0.0
sparse,7,1.121884081333216,-467.6666666666667,0.0
sparse,8,0.7472971313351687,-364.0,0.0
sparse,9,1.729928590997588,-654.3333333333334,0.0
sparse,10,0.7583334873391626,-296.3333333333333,0.0
