type,id,time_1avg,cost_1avg,fails_1total
dense,1,0.006335187004879117,992.0,0.0
dense,2,0.005794841010356322,614.0,0.0
dense,3,0.00575657699664589,925.0,0.0
dense,4,0.004967834000126459,752.0,0.0
dense,5,0.001830615001381375,495.0,0.0
dense,6,0.004310823991545476,754.0,0.0
dense,7,0.008168743996066041,966.0,0.0
dense,8,0.006908534007379785,791.0,0.0
dense,9,0.008290313999168575,1108.0,0.0
dense,10,0.0035223899903940037,717.0,0.0
sparse,1,0.0052984429930802435,162.0,0.0
sparse,2,0.005735143990023062,103.0,0.0
sparse,3,0.006316137005342171,115.0,0.0
sparse,4,0.006676396995317191,172.0,0.0
sparse,5,0.00180985098995734,75.0,0.0
sparse,6,0.0042494670051382855,74.0,0.0
sparse,7,0.007311146997381002,162.0,0.0
sparse,8,0.006374848002451472,119.0,0.0
sparse,9,0.006297493004240096,198.0,0.0
sparse,10,0.0034309999900870025,157.0,0.0
