type,id,time_1avg,cost_1avg,fails_1total
dense,1,0.0038066083361627534,629.0,0.0
dense,2,0.004494927668323119,466.3333333333333,0.0
dense,3,0.004690669336317417,572.0,0.0
dense,4,0.004076986665798661,658.0,0.0
dense,5,0.0017342003314600636,323.3333333333333,0.0
dense,6,0.003644947995780967,653.0,0.0
dense,7,0.0063595586640682695,811.0,0.0
dense,8,0.004779372335178778,494.3333333333333,0.0
dense,9,0.005948204333738734,832.6666666666666,0.0
dense,10,0.002593006327515468,522.3333333333334,0.0
sparse,1,0.003084652994099694,142.33333333333334,0.0
sparse,2,0.004330856997209291,83.0,0.0
sparse,3,0.003611764337013786,55.333333333333336,0.0
sparse,4,0.004335643660548764,128.0,0.0
sparse,5,0.001479112664431644,63.333333333333336,0.0
sparse,6,0.0036981430021114647,63.0,0.0
sparse,7,0.005317837669281289,114.33333333333333,0.0
sparse,8,0.004283386001285787,81.0,0.0
sparse,9,0.005309507003403269,129.33333333333334,0.0
sparse,10,0.0027409333270043135,95.66666666666667,0.0
