type,id,time_1avg,cost_1avg,fails_1total
dense,1,0.002452783999615349,332.0,0.0
dense,2,0.002392228998360224,363.0,0.0
dense,3,0.002653323012054898,247.0,0.0
dense,4,0.002832393001881428,560.0,0.0
dense,5,0.0016840659955050796,205.0,0.0
dense,6,0.0027562149916775525,575.0,0.0
dense,7,0.0043201099906582385,715.0,0.0
dense,8,0.0007853569986764342,103.0,0.0
dense,9,0.0041394089930690825,551.0,0.0
dense,10,0.0011806409893324599,193.0,0.0
sparse,1,0.0012273879983695224,112.0,0.0
sparse,2,0.0021800639951834455,72.0,0.0
sparse,3,0.002256519001093693,4.0,0.0
sparse,4,0.002503078998415731,102.0,0.0
sparse,5,0.0010692659998312593,45.0,0.0
sparse,6,0.002728963998379186,55.0,0.0
sparse,7,0.0039147510105976835,35.0,0.0
sparse,8,0.0007841470069251955,23.0,0.0
sparse,9,0.004203306001727469,91.0,0.0
sparse,10,0.0017239729932043701,13.0,0.0
