type,id,time_1avg,cost_1avg,fails_1total,visited,repeated,explored
dense,1,0.05049539799802005,-5.0,0.0,19.0,0.0,26.0
dense,2,0.14582011800303007,95.0,0.0,83.0,0.0,96.0
dense,3,0.2460798860010982,-3.0,0.0,135.0,0.0,154.0
dense,4,0.2798323919996619,93.0,0.0,163.0,0.0,175.0
dense,5,0.09785618399837404,1.0,0.0,42.0,0.0,50.0
dense,6,0.13049060300181736,75.0,0.0,67.0,0.0,76.0
dense,7,0.29415877900100895,115.0,0.0,172.0,0.0,191.0
dense,8,0.1709256549984275,43.0,0.0,82.0,0.0,95.0
dense,9,0.06605916099942988,94.0,0.0,34.0,0.0,40.0
dense,10,0.09638993800035678,49.0,0.0,51.0,0.0,63.0
sparse,1,0.024371716001041932,-5.0,0.0,25.0,0.0,30.0
sparse,2,0.05828129499786883,-13.0,0.0,90.0,0.0,104.0
sparse,3,0.09962260700194747,10.0,0.0,134.0,0.0,152.0
sparse,4,0.06895519600220723,-13.0,0.0,99.0,0.0,112.0
sparse,5,0.04731133799941745,-1.0,0.0,59.0,0.0,69.0
sparse,6,0.038624140001047635,-5.0,0.0,62.0,0.0,71.0
sparse,7,0.09437159699882613,-5.0,0.0,154.0,0.0,171.0
sparse,8,0.048966294998535886,3.0,0.0,63.0,0.0,76.0
sparse,9,0.038923757998418296,-25.0,0.0,52.0,0.0,63.0
sparse,10,0.025976527002057992,-13.0,0.0,38.0,0.0,46.0
