type,id,time_1avg,cost_1avg,fails_1total,visited,repeated,explored
dense,1,0.30930300533267047,306.3333333333333,0.0,267.0,0.0,288.6666666666667
dense,2,0.21737256799921548,380.0,0.0,208.0,0.0,228.33333333333334
dense,3,0.2657086626677483,247.33333333333334,0.0,225.33333333333334,0.0,252.0
dense,4,0.2588337043343927,413.0,0.0,228.0,0.0,250.66666666666666
dense,5,0.30314112566702534,516.0,0.0,248.33333333333334,0.0,268.3333333333333
dense,6,0.2645112590010588,417.6666666666667,0.0,227.66666666666666,0.0,255.0
dense,7,0.2627458593342453,476.0,0.0,227.0,0.0,249.33333333333334
dense,8,0.27354023566658725,393.0,0.0,227.0,0.0,249.33333333333334
dense,9,0.24046467733326912,325.3333333333333,0.0,218.66666666666666,0.0,245.0
dense,10,0.2314939006670708,426.6666666666667,0.0,213.66666666666666,0.0,237.66666666666666
sparse,1,0.10353224800079867,123.33333333333333,0.0,192.33333333333334,0.0,237.66666666666666
sparse,2,0.055582026000289865,105.33333333333333,0.0,109.0,0.0,128.0
sparse,3,0.0500772123329322,57.0,0.0,87.66666666666667,0.0,110.66666666666667
sparse,4,0.09395937033453568,87.0,0.0,212.33333333333334,0.0,241.0
sparse,5,0.08251663433232655,58.666666666666664,0.0,160.33333333333334,0.0,190.66666666666666
sparse,6,0.07207637566655951,45.333333333333336,0.0,153.0,0.0,185.66666666666666
sparse,7,0.0749407033326861,74.66666666666667,0.0,149.66666666666666,0.0,179.0
sparse,8,0.09491344766744685,59.0,0.0,205.33333333333334,0.0,233.0
sparse,9,0.057853098998748465,97.66666666666667,0.0,115.33333333333333,0.0,139.0
sparse,10,0.06853100366788567,61.0,0.0,149.33333333333334,0.0,180.0
