,type,id,class,time_1avg,cost_1avg,fails_1total,visited,repeated,explored
mazes/dense/1a,dense,1,a,30.054251753001154,0,1.0,0.0,0.0,0.0
mazes/dense/1b,dense,1,b,0.14329961799739976,-1.0,0.0,0.0,0.0,0.0
mazes/dense/1c,dense,1,c,2.4324979509983677,63.0,0.0,0.0,0.0,0.0
mazes/dense/2a,dense,2,a,30.025741176999873,0,1.0,0.0,0.0,0.0
mazes/dense/2b,dense,2,b,30.05016960499779,0,1.0,0.0,0.0,0.0
mazes/dense/2c,dense,2,c,30.061158767999586,0,1.0,0.0,0.0,0.0
mazes/dense/3a,dense,3,a,30.051520402997994,0,1.0,0.0,0.0,0.0
mazes/dense/3b,dense,3,b,30.05596858900026,0,1.0,0.0,0.0,0.0
mazes/dense/3c,dense,3,c,30.05423254699781,0,1.0,0.0,0.0,0.0
mazes/dense/4a,dense,4,a,30.053883899003267,0,1.0,0.0,0.0,0.0
mazes/dense/4b,dense,4,b,30.052414580000914,0,1.0,0.0,0.0,0.0
mazes/dense/4c,dense,4,c,30.051711698000872,0,1.0,0.0,0.0,0.0
mazes/dense/5a,dense,5,a,30.054114794998895,0,1.0,0.0,0.0,0.0
mazes/dense/5b,dense,5,b,30.053617175999534,0,1.0,0.0,0.0,0.0
mazes/dense/5c,dense,5,c,0.4650626439979533,-33.0,0.0,0.0,0.0,0.0
mazes/dense/6a,dense,6,a,30.054260761997284,0,1.0,0.0,0.0,0.0
mazes/dense/6b,dense,6,b,30.054211454000324,0,1.0,0.0,0.0,0.0
mazes/dense/6c,dense,6,c,30.05166699899928,0,1.0,0.0,0.0,0.0
mazes/dense/7a,dense,7,a,30.056108412001777,0,1.0,0.0,0.0,0.0
mazes/dense/7b,dense,7,b,30.056073350999213,0,1.0,0.0,0.0,0.0
mazes/dense/7c,dense,7,c,30.054889402999834,0,1.0,0.0,0.0,0.0
mazes/dense/8a,dense,8,a,8.353172806000657,193.0,0.0,0.0,0.0,0.0
mazes/dense/8b,dense,8,b,30.055310334999376,0,1.0,0.0,0.0,0.0
mazes/dense/8c,dense,8,c,7.12142844200207,244.0,0.0,0.0,0.0,0.0
mazes/dense/9a,dense,9,a,30.054898341997614,0,1.0,0.0,0.0,0.0
mazes/dense/9b,dense,9,b,30.054901207000512,0,1.0,0.0,0.0,0.0
mazes/dense/9c,dense,9,c,0.32681680400128243,94.0,0.0,0.0,0.0,0.0
mazes/dense/10a,dense,10,a,0.3655195849969459,61.0,0.0,0.0,0.0,0.0
mazes/dense/10b,dense,10,b,1.2886925299972063,216.0,0.0,0.0,0.0,0.0
mazes/dense/10c,dense,10,c,4.806650840000657,192.0,0.0,0.0,0.0,0.0
mazes/sparse/1a,sparse,1,a,19.07839257899832,-49.0,0.0,0.0,0.0,0.0
mazes/sparse/1b,sparse,1,b,0.28094377600064036,9.0,0.0,0.0,0.0,0.0
mazes/sparse/1c,sparse,1,c,0.25044223700024304,47.0,0.0,0.0,0.0,0.0
mazes/sparse/2a,sparse,2,a,30.055389885001205,0,1.0,0.0,0.0,0.0
mazes/sparse/2b,sparse,2,b,25.62548986299953,-76.0,0.0,0.0,0.0,0.0
mazes/sparse/2c,sparse,2,c,30.052690174001327,0,1.0,0.0,0.0,0.0
mazes/sparse/3a,sparse,3,a,30.05305607199989,0,1.0,0.0,0.0,0.0
mazes/sparse/3b,sparse,3,b,30.054965809998976,0,1.0,0.0,0.0,0.0
mazes/sparse/3c,sparse,3,c,30.056248372999107,0,1.0,0.0,0.0,0.0
mazes/sparse/4a,sparse,4,a,30.056497916000808,0,1.0,0.0,0.0,0.0
mazes/sparse/4b,sparse,4,b,30.05512539600022,0,1.0,0.0,0.0,0.0
mazes/sparse/4c,sparse,4,c,30.055518450000818,0,1.0,0.0,0.0,0.0
mazes/sparse/5a,sparse,5,a,30.058276446998207,0,1.0,0.0,0.0,0.0
mazes/sparse/5b,sparse,5,b,30.056804825002473,0,1.0,0.0,0.0,0.0
mazes/sparse/5c,sparse,5,c,1.0267828379983257,3.0,0.0,0.0,0.0,0.0
mazes/sparse/6a,sparse,6,a,0.19136148100005812,-5.0,0.0,0.0,0.0,0.0
mazes/sparse/6b,sparse,6,b,30.059669008998753,0,1.0,0.0,0.0,0.0
mazes/sparse/6c,sparse,6,c,30.061352109998552,0,1.0,0.0,0.0,0.0
mazes/sparse/7a,sparse,7,a,30.0558151059995,0,1.0,0.0,0.0,0.0
mazes/sparse/7b,sparse,7,b,30.04513493000195,0,1.0,0.0,0.0,0.0
mazes/sparse/7c,sparse,7,c,30.056483555999876,0,1.0,0.0,0.0,0.0
mazes/sparse/8a,sparse,8,a,0.9651572599977953,-17.0,0.0,0.0,0.0,0.0
mazes/sparse/8b,sparse,8,b,30.05726633499944,0,1.0,0.0,0.0,0.0
mazes/sparse/8c,sparse,8,c,1.034693812001933,25.0,0.0,0.0,0.0,0.0
mazes/sparse/9a,sparse,9,a,0.28412844999911613,-17.0,0.0,0.0,0.0,0.0
mazes/sparse/9b,sparse,9,b,30.05791026999941,0,1.0,0.0,0.0,0.0
mazes/sparse/9c,sparse,9,c,0.1872393869998632,2.0,0.0,0.0,0.0,0.0
mazes/sparse/10a,sparse,10,a,1.2969770740019158,-35.0,0.0,0.0,0.0,0.0
mazes/sparse/10b,sparse,10,b,16.968689757999528,-40.0,0.0,0.0,0.0,0.0
mazes/sparse/10c,sparse,10,c,0.12477236400081892,0,1.0,0.0,0.0,0.0
