type,id,time_1avg,cost_1avg,fails_1total,visited,repeated,explored
dense,1,30.054251753001154,63.0,1.0,0.0,0.0,0.0
dense,2,30.061158767999586,0.0,1.0,0.0,0.0,0.0
dense,3,30.05596858900026,0.0,1.0,0.0,0.0,0.0
dense,4,30.053883899003267,0.0,1.0,0.0,0.0,0.0
dense,5,30.054114794998895,0.0,1.0,0.0,0.0,0.0
dense,6,30.054260761997284,0.0,1.0,0.0,0.0,0.0
dense,7,30.056108412001777,0.0,1.0,0.0,0.0,0.0
dense,8,30.055310334999376,244.0,1.0,0.0,0.0,0.0
dense,9,30.054901207000512,94.0,1.0,0.0,0.0,0.0
dense,10,4.806650840000657,216.0,0.0,0.0,0.0,0.0
sparse,1,19.07839257899832,47.0,0.0,0.0,0.0,0.0
sparse,2,30.055389885001205,0.0,1.0,0.0,0.0,0.0
sparse,3,30.056248372999107,0.0,1.0,0.0,0.0,0.0
sparse,4,30.056497916000808,0.0,1.0,0.0,0.0,0.0
sparse,5,30.058276446998207,3.0,1.0,0.0,0.0,0.0
sparse,6,30.061352109998552,0.0,1.0,0.0,0.0,0.0
sparse,7,30.056483555999876,0.0,1.0,0.0,0.0,0.0
sparse,8,30.05726633499944,25.0,1.0,0.0,0.0,0.0
sparse,9,30.05791026999941,2.0,1.0,0.0,0.0,0.0
sparse,10,16.968689757999528,0.0,1.0,0.0,0.0,0.0
