type,id,time_1avg,cost_1avg,fails_1total,visited,repeated,explored
dense,1,30.06399411199891,0.0,1.0,0.0,0.0,0.0
dense,2,30.051316327000677,0.0,1.0,0.0,0.0,0.0
dense,3,30.058296256000176,0.0,1.0,0.0,0.0,0.0
dense,4,30.055120716999227,0.0,1.0,0.0,0.0,0.0
dense,5,30.054393041002186,0.0,1.0,0.0,0.0,0.0
dense,6,30.06027402000109,0.0,1.0,0.0,0.0,0.0
dense,7,30.05352589299946,0.0,1.0,0.0,0.0,0.0
dense,8,30.05300543699923,0.0,1.0,0.0,0.0,0.0
dense,9,30.054629664002277,0.0,1.0,0.0,0.0,0.0
dense,10,30.056424582002364,0.0,1.0,0.0,0.0,0.0
sparse,1,30.050838404000388,0.0,1.0,0.0,0.0,0.0
sparse,2,30.052793398997892,160.0,1.0,0.0,0.0,0.0
sparse,3,3.428175351000391,144.0,0.0,0.0,0.0,0.0
sparse,4,30.06420384500234,155.0,1.0,0.0,0.0,0.0
sparse,5,30.052075012001296,160.0,1.0,0.0,0.0,0.0
sparse,6,30.056889235998824,70.0,1.0,0.0,0.0,0.0
sparse,7,30.05633874799969,250.0,1.0,0.0,0.0,0.0
sparse,8,30.059103272000357,285.0,1.0,0.0,0.0,0.0
sparse,9,30.059333258999686,116.0,1.0,0.0,0.0,0.0
sparse,10,30.06025271800172,150.0,1.0,0.0,0.0,0.0
