type,id,time_1avg,cost_1avg,fails_1total,visited,repeated,explored
dense,1,30.044381166000676,0.0,1.0,0.0,0.0,0.0
dense,2,30.038749729999836,0.0,1.0,0.0,0.0,0.0
dense,3,30.039613455999643,0.0,1.0,0.0,0.0,0.0
dense,4,30.0332083889989,0.0,1.0,0.0,0.0,0.0
dense,5,30.0505300549994,0.0,1.0,0.0,0.0,0.0
dense,6,30.052936224001314,0.0,1.0,0.0,0.0,0.0
dense,7,30.04486509599883,0.0,1.0,0.0,0.0,0.0
dense,8,30.05102292400261,0.0,1.0,0.0,0.0,0.0
dense,9,30.051501405996532,0.0,1.0,0.0,0.0,0.0
dense,10,30.055364601998008,0.0,1.0,0.0,0.0,0.0
sparse,1,30.031659312000556,0.0,1.0,0.0,0.0,0.0
sparse,2,1.053857844999584,0.0,0.0,0.0,0.0,0.0
sparse,3,0.1392893370029924,48.0,0.0,0.0,0.0,0.0
sparse,4,10.631630537998717,0.0,0.0,0.0,0.0,0.0
sparse,5,1.060347908998665,0.0,0.0,0.0,0.0,0.0
sparse,6,5.451260616002401,0.0,0.0,0.0,0.0,0.0
sparse,7,7.3832603830014705,0.0,0.0,0.0,0.0,0.0
sparse,8,6.92516286299724,0.0,0.0,0.0,0.0,0.0
sparse,9,7.0163705140003,0.0,0.0,0.0,0.0,0.0
sparse,10,21.340095128998655,0.0,0.0,0.0,0.0,0.0
