,type,id,class,time_100avg,cost_100avg,fails_100total,visited,repeated,explored
mazes/dense/1a,dense,1,a,0.21493397099999811,43.83505154639175,0.03,43.13,2956.87,55.75
mazes/dense/1b,dense,1,b,0.24379181300000938,80.83,0.0,40.24,2959.76,50.28
mazes/dense/1c,dense,1,c,0.22040045699997335,491.95,0.8,20.38,2979.62,24.15
mazes/dense/2a,dense,2,a,0.21058606500001134,-20.99,0.0,39.85,2960.15,49.15
mazes/dense/2b,dense,2,b,0.22548280800000156,182.58333333333334,0.16,65.65,2934.35,78.67
mazes/dense/2c,dense,2,c,0.22101697100001047,47.13131313131313,0.01,56.14,2943.86,67.55
mazes/dense/3a,dense,3,a,0.2536146850000091,54.91919191919192,0.01,40.41,2959.59,50.32
mazes/dense/3b,dense,3,b,0.20756623700000545,-16.34,0.0,39.54,2960.46,51.25
mazes/dense/3c,dense,3,c,0.23480050200000277,0.0,1.0,26.14,2973.86,32.83
mazes/dense/4a,dense,4,a,0.22568958000001885,-54.72,0.0,62.67,2937.33,74.92
mazes/dense/4b,dense,4,b,0.2503650109999944,-28.1010101010101,0.01,58.33,2941.67,71.9
mazes/dense/4c,dense,4,c,0.2049340019999886,0.0,1.0,16.42,2983.58,20.12
mazes/dense/5a,dense,5,a,0.23737639399999125,-5.71,0.0,61.46,2938.54,75.81
mazes/dense/5b,dense,5,b,0.30171248199999356,-94.4949494949495,0.01,52.63,2947.37,64.19
mazes/dense/5c,dense,5,c,0.23774128599999814,56.49,0.0,31.66,2968.34,38.74
mazes/dense/6a,dense,6,a,0.23836304999999128,171.92,0.0,52.8,2947.2,63.88
mazes/dense/6b,dense,6,b,0.2194191039999987,-18.221052631578946,0.05,42.93,2957.07,51.89
mazes/dense/6c,dense,6,c,0.2472212519999948,219.88,0.0,47.1,2952.9,57.72
mazes/dense/7a,dense,7,a,0.29830897000000506,377.2105263157895,0.05,57.91,2942.09,69.97
mazes/dense/7b,dense,7,b,0.2516442050000069,-43.2020202020202,0.01,53.98,2946.02,65.59
mazes/dense/7c,dense,7,c,0.27552117600000886,501.1585365853659,0.18,34.36,2965.64,41.84
mazes/dense/8a,dense,8,a,0.27743724000000614,-14.35,0.0,59.27,2940.73,73.3
mazes/dense/8b,dense,8,b,0.24565887000000203,52.08,0.0,51.85,2948.15,63.98
mazes/dense/8c,dense,8,c,0.2942905080000014,495.9125,0.2,34.26,2965.74,42.03
mazes/dense/9a,dense,9,a,0.2641328730000123,49.292929292929294,0.01,58.65,2941.35,70.4
mazes/dense/9b,dense,9,b,0.23733533999999964,-88.64285714285714,0.16,56.34,2943.66,68.66
mazes/dense/9c,dense,9,c,0.24295011699998212,-30.95959595959596,0.01,42.01,2957.99,51.0
mazes/dense/10a,dense,10,a,0.24549566799998274,133.3,0.0,48.8,2951.2,59.9
mazes/dense/10b,dense,10,b,0.24666251499999817,86.77777777777777,0.01,51.71,2948.29,62.18
mazes/dense/10c,dense,10,c,0.22253705299999638,39.878787878787875,0.34,36.72,2963.28,47.43
mazes/sparse/1a,sparse,1,a,0.22489303800000243,198.4255319148936,0.06,44.05,2955.95,56.58
mazes/sparse/1b,sparse,1,b,0.25375681000000894,96.55,0.0,39.51,2960.49,49.66
mazes/sparse/1c,sparse,1,c,0.233671441999993,609.8636363636364,0.78,20.53,2979.47,24.38
mazes/sparse/2a,sparse,2,a,0.21067116399999122,106.78,0.0,41.05,2958.95,50.5
mazes/sparse/2b,sparse,2,b,0.22987154299998339,403.6847826086956,0.08,64.08,2935.92,76.89
mazes/sparse/2c,sparse,2,c,0.23915370200001007,216.43434343434345,0.01,56.42,2943.58,67.76
mazes/sparse/3a,sparse,3,a,0.27383254000000307,77.44,0.0,40.97,2959.03,51.01
mazes/sparse/3b,sparse,3,b,0.20664780199999314,159.0,0.0,40.4,2959.6,52.16
mazes/sparse/3c,sparse,3,c,0.22156414300002097,0.0,1.0,25.61,2974.39,32.13
mazes/sparse/4a,sparse,4,a,0.22606197400000838,203.24,0.0,61.55,2938.45,73.53
mazes/sparse/4b,sparse,4,b,0.2268261059999986,234.83,0.0,59.07,2940.93,72.61
mazes/sparse/4c,sparse,4,c,0.20754027300000644,0.0,1.0,16.71,2983.29,20.52
mazes/sparse/5a,sparse,5,a,0.24222765299999083,263.32,0.0,61.01,2938.99,75.36
mazes/sparse/5b,sparse,5,b,0.22513605600000575,271.10526315789474,0.05,50.74,2949.26,62.01
mazes/sparse/5c,sparse,5,c,0.23175674700002674,106.35,0.0,32.1,2967.9,39.22
mazes/sparse/6a,sparse,6,a,0.22673942999997962,333.9,0.0,50.84,2949.16,61.53
mazes/sparse/6b,sparse,6,b,0.21028728600002977,165.6195652173913,0.08,42.04,2957.96,50.75
mazes/sparse/6c,sparse,6,c,0.2249554270000226,345.65,0.0,48.96,2951.04,60.29
mazes/sparse/7a,sparse,7,a,0.2258202070000152,548.9111111111112,0.1,56.97,2943.03,69.09
mazes/sparse/7b,sparse,7,b,0.22522050800002943,171.5,0.0,52.72,2947.28,64.14
mazes/sparse/7c,sparse,7,c,0.2215308189999996,611.780487804878,0.18,33.12,2966.88,40.47
mazes/sparse/8a,sparse,8,a,0.2571746030000031,136.06,0.0,56.6,2943.4,70.04
