type,id,time_100avg,cost_100avg,fails_100total,visited,repeated,explored
dense,1,0.15845939999999983,379.9230769230769,0.74,46.1,1978.29,58.22
dense,2,0.14822458099999977,155.62105263157895,0.05,64.77,1961.07,77.39
dense,3,0.1699129359999992,28.42,1.0,39.92,1974.65,49.55
dense,4,0.14976029900000098,0.0,1.0,60.99,1983.92,72.85
dense,5,0.1575804130000003,53.494949494949495,0.03,62.2,1968.88,76.52
dense,6,0.14688062599999938,252.84,0.09,50.9,1957.67,61.71
dense,7,0.1494083549999999,411.9871794871795,0.22,56.99,1968.52,68.84
dense,8,0.17060051700000314,350.32,0.25,58.2,1967.61,72.0
dense,9,0.15079950500000394,44.95,0.14,59.51,1958.83,71.41
dense,10,0.1482228189999995,139.78,0.3,52.31,1962.28,62.96
sparse,1,0.15833040799999992,632.2692307692307,0.74,46.15,1977.87,57.78
sparse,2,0.1482798149999968,343.9425287356322,0.13,62.8,1959.23,75.58
sparse,3,0.16884054999999876,183.46,1.0,40.07,1973.81,49.81
sparse,4,0.14915409699999713,194.25252525252526,1.0,60.85,1983.67,72.79
sparse,5,0.15839931000000093,257.23,0.04,61.38,1969.15,75.89
sparse,6,0.1478458859999955,303.06,0.1,50.72,1957.43,61.71
sparse,7,0.14432223900000055,601.4,0.2,57.67,1966.57,69.7
sparse,8,0.16471659399999794,599.0857142857143,0.3,56.73,1968.22,70.27
sparse,9,0.14613222600000314,238.73,0.11,57.27,1958.92,68.92
sparse,10,0.14554781699999922,290.89,0.32,52.26,1962.61,62.97
