type,id,time_100avg,cost_100avg,fails_100total,visited,repeated,explored
dense,1,0.2192743219999997,-422.85714285714283,0.0,20.82,2952.18,24.76
dense,2,0.20920089799999958,-121.48235294117647,0.01,41.75,2934.87,51.21
dense,3,0.20235256699999923,-54.07142857142857,0.0,26.02,2959.43,32.63
dense,4,0.21574391199999723,0.0,0.0,16.9,2937.51,20.76
dense,5,0.22908941199999616,-67.8,0.0,31.55,2937.9,38.54
dense,6,0.2159591300000011,-212.21,0.0,43.07,2949.37,51.93
dense,7,0.22973578699999678,-521.1808510638298,0.0,34.37,2941.98,41.92
dense,8,0.23960271299999816,-561.8311688311688,0.0,33.39,2943.89,41.17
dense,9,0.22468516099999875,-56.24,0.0,41.54,2940.36,50.49
dense,10,0.21260921300000518,-128.57142857142858,0.0,37.11,2948.26,47.92
sparse,1,0.23012535599999978,-524.3703703703703,0.0,22.86,2952.16,27.22
sparse,2,0.2172284710000031,-435.86813186813185,0.02,40.97,2934.44,50.24
sparse,3,0.21195660399999725,-185.95,0.0,25.86,2959.37,32.45
sparse,4,0.21866751199999498,-205.99,0.0,15.96,2938.18,19.54
sparse,5,0.24029386200001226,-268.7448979591837,0.0,31.28,2938.37,38.4
sparse,6,0.21287189299999681,-347.74,0.0,42.22,2949.25,51.05
sparse,7,0.23619590399999651,-650.1358024691358,0.01,32.33,2943.03,39.53
sparse,8,0.23366565899998476,-705.280487804878,0.0,32.97,2942.29,40.53
sparse,9,0.23047143599998435,-323.8695652173913,0.0,41.73,2942.01,50.63
sparse,10,0.2154983750000065,-311.05,0.0,36.1,2946.84,46.56
