type,id,time_100avg,cost_100avg,fails_100total
dense,1,0.09299842599999994,87.02061855670104,0.03
dense,2,0.09474167000000044,107.16161616161617,0.07
dense,3,0.09745349699999978,58.37,0.98
dense,4,0.0970830959999995,23.23,1.0
dense,5,0.09539909299999977,10.3,0.0
dense,6,0.09593608800000027,94.28282828282828,0.04
dense,7,0.09513318699999956,148.06382978723406,0.06
dense,8,0.09435597899999976,40.97872340425532,0.06
dense,9,0.09544633900000093,78.98924731182795,0.07
dense,10,0.09309612500000071,95.9090909090909,0.06
sparse,1,0.09376530800000125,423.0,0.01
sparse,2,0.09555040299999745,496.8817204301075,0.07
sparse,3,0.09726051800000221,291.16161616161617,0.99
sparse,4,0.09647513900000092,776.0,0.98
sparse,5,0.09414916300000073,415.01,0.0
sparse,6,0.09523565700000006,484.84,0.04
sparse,7,0.09452990099999738,553.6020408163265,0.03
sparse,8,0.09416898299999786,477.01075268817203,0.07
sparse,9,0.09548081399999432,587.4105263157895,0.05
sparse,10,0.09391673000000196,538.0510204081633,0.04
