type,id,time_100avg,cost_100avg,fails_100total
dense,1,0.08957119700000002,-62.54,0.0
dense,2,0.0924570409999999,59.64,0.0
dense,3,0.08583979800000037,-137.0,0.0
dense,4,0.09311875100000065,-48.08,0.0
dense,5,0.09065770900000075,-111.02,0.0
dense,6,0.09311034800000073,45.6875,0.01
dense,7,0.09262882700000119,-66.36,0.0
dense,8,0.09145931100000042,-44.78,0.0
dense,9,0.09147393799999919,-16.020408163265305,0.02
dense,10,0.08433368499999971,31.12121212121212,0.01
sparse,1,0.08577593099999489,192.1,0.0
sparse,2,0.09057648100000222,346.0,0.0
sparse,3,0.08677019600000335,183.0,0.0
sparse,4,0.09397870099999636,430.7878787878788,0.0
sparse,5,0.09338894299999993,188.98,0.0
sparse,6,0.09163359899999818,396.38,0.0
sparse,7,0.09216353900000343,354.39,0.0
sparse,8,0.09097306399999923,221.5,0.0
sparse,9,0.09110125899999844,239.12121212121212,0.0
sparse,10,0.08431143699999666,376.6875,0.02
