,type,id,class,time_100avg,cost_100avg,fails_100total,visited,repeated,explored
mazes/dense/1a,dense,1,a,0.12661917100000208,224.84883720930233,0.14,36.36,1963.64,46.91
mazes/dense/1b,dense,1,b,0.1429773630000011,243.1,0.0,33.94,1966.06,44.24
mazes/dense/1c,dense,1,c,0.12567398800000545,0.0,1.0,10.12,1989.88,12.13
mazes/dense/2a,dense,2,a,0.12305546200000549,6.617021276595745,0.06,34.56,1965.44,43.54
mazes/dense/2b,dense,2,b,0.13441489399999682,671.3333333333334,0.79,35.2,1964.8,43.65
mazes/dense/2c,dense,2,c,0.1348304209999935,416.55555555555554,0.1,47.91,1952.09,58.34
mazes/dense/3a,dense,3,a,0.15344720400000028,52.04,0.0,29.9,1970.1,38.38
mazes/dense/3b,dense,3,b,0.12054631500000142,217.7391304347826,0.08,29.96,1970.04,38.47
mazes/dense/3c,dense,3,c,0.1280760509999925,0.0,1.0,14.11,1985.89,18.72
mazes/dense/4a,dense,4,a,0.13721046199999706,364.69565217391306,0.08,49.43,1950.57,59.88
mazes/dense/4b,dense,4,b,0.13541702400000757,175.10638297872342,0.06,53.19,1946.81,66.5
mazes/dense/4c,dense,4,c,0.11603172499999573,0.0,1.0,9.36,1990.64,11.58
mazes/dense/5a,dense,5,a,0.14398758000000045,137.57731958762886,0.03,55.82,1944.18,70.27
mazes/dense/5b,dense,5,b,0.1304446300000086,228.04615384615386,0.35,44.34,1955.66,54.62
mazes/dense/5c,dense,5,c,0.1316631630000029,245.48979591836735,0.02,24.81,1975.19,31.74
mazes/dense/6a,dense,6,a,0.13323383699999794,605.6,0.5,33.11,1966.89,40.22
mazes/dense/6b,dense,6,b,0.12606401299999334,36.544444444444444,0.1,38.72,1961.28,47.14
mazes/dense/6c,dense,6,c,0.13023757799998975,612.9166666666666,0.28,33.63,1966.37,42.02
mazes/dense/7a,dense,7,a,0.13317064300000767,380.88235294117646,0.66,41.81,1958.19,50.88
mazes/dense/7b,dense,7,b,0.13281351500001165,175.30208333333334,0.04,43.64,1956.36,54.79
mazes/dense/7c,dense,7,c,0.1294934619999958,505.84615384615387,0.74,21.72,1978.28,27.14
mazes/dense/8a,dense,8,a,0.14836676299999682,390.7157894736842,0.05,47.04,1952.96,59.23
mazes/dense/8b,dense,8,b,0.1322240170000123,190.2,0.0,44.06,1955.94,55.18
mazes/dense/8c,dense,8,c,0.13273242799999252,535.6086956521739,0.77,17.59,1982.41,23.37
mazes/dense/9a,dense,9,a,0.13756768099999817,308.96774193548384,0.07,43.99,1956.01,53.59
mazes/dense/9b,dense,9,b,0.1309347930000081,290.1038961038961,0.23,46.55,1953.45,56.06
mazes/dense/9c,dense,9,c,0.1314722449999931,-40.0,0.0,29.65,1970.35,37.18
mazes/dense/10a,dense,10,a,0.1317155019999973,473.04395604395603,0.09,40.0,1960.0,50.3
mazes/dense/10b,dense,10,b,0.13167306600000528,406.5111111111111,0.1,42.62,1957.38,52.43
mazes/dense/10c,dense,10,c,0.11993650100000196,301.92105263157896,0.62,24.63,1975.37,32.57
mazes/sparse/1a,sparse,1,a,0.12555691199999727,286.5238095238095,0.16,33.74,1966.26,44.04
mazes/sparse/1b,sparse,1,b,0.1427710550000029,251.97979797979798,0.01,33.75,1966.25,44.06
mazes/sparse/1c,sparse,1,c,0.12571497799998724,0.0,1.0,10.3,1989.7,12.34
mazes/sparse/2a,sparse,2,a,0.12245606399998905,148.05263157894737,0.05,35.02,1964.98,43.91
mazes/sparse/2b,sparse,2,b,0.13455246200000828,739.3157894736842,0.81,33.73,1966.27,41.68
mazes/sparse/2c,sparse,2,c,0.13367586500000017,562.445652173913,0.08,47.51,1952.49,57.79
mazes/sparse/3a,sparse,3,a,0.1542795519999936,39.52,0.0,28.81,1971.19,36.93
mazes/sparse/3b,sparse,3,b,0.11994591899999023,310.0537634408602,0.07,29.41,1970.59,37.81
mazes/sparse/3c,sparse,3,c,0.12801906600001758,0.0,1.0,14.05,1985.95,18.59
mazes/sparse/4a,sparse,4,a,0.13326256999998576,543.6354166666666,0.04,50.09,1949.91,60.57
mazes/sparse/4b,sparse,4,b,0.13542738799998233,415.69565217391306,0.08,52.04,1947.96,65.03
mazes/sparse/4c,sparse,4,c,0.11631462600002351,0.0,1.0,9.73,1990.27,12.03
mazes/sparse/5a,sparse,5,a,0.14659026699999003,444.66326530612247,0.02,57.66,1942.34,72.47
mazes/sparse/5b,sparse,5,b,0.14107331600000406,572.6964285714286,0.44,41.62,1958.38,51.44
mazes/sparse/5c,sparse,5,c,0.1369839180000031,271.234693877551,0.02,24.84,1975.16,31.71
mazes/sparse/6a,sparse,6,a,0.1349243299999921,592.3725490196078,0.49,33.63,1966.37,41.06
mazes/sparse/6b,sparse,6,b,0.12716169300001867,177.75,0.08,37.13,1962.87,45.48
mazes/sparse/6c,sparse,6,c,0.13036565299999892,698.65625,0.36,32.7,1967.3,40.82
mazes/sparse/7a,sparse,7,a,0.13350139999999783,615.4444444444445,0.73,41.14,1958.86,50.02
mazes/sparse/7b,sparse,7,b,0.1329857759999959,417.3958333333333,0.04,42.95,1957.05,54.16
mazes/sparse/7c,sparse,7,c,0.12896650999999565,606.7368421052631,0.81,19.56,1980.44,24.76
mazes/sparse/8a,sparse,8,a,0.15188755199999604,451.08247422680415,0.03,46.96,1953.04,59.23
mazes/sparse/8b,sparse,8,b,0.14204802700001437,337.5773195876289,0.03,43.42,1956.58,54.4
mazes/sparse/8c,sparse,8,c,0.1370106010000063,599.9565217391304,0.77,17.82,1982.18,23.56
mazes/sparse/9a,sparse,9,a,0.1412195329999986,436.8279569892473,0.07,43.27,1956.73,52.7
mazes/sparse/9b,sparse,9,b,0.13148007499999947,713.025,0.2,46.54,1953.46,56.11
mazes/sparse/9c,sparse,9,c,0.13276527699998952,33.94,0.0,29.48,1970.52,36.91
mazes/sparse/10a,sparse,10,a,0.1365368330000001,609.8555555555556,0.1,40.74,1959.26,51.21
mazes/sparse/10b,sparse,10,b,0.13330075500000477,582.2795698924731,0.07,43.77,1956.23,53.95
mazes/sparse/10c,sparse,10,c,0.12382037900000341,564.9142857142857,0.65,24.4,1975.6,32.26
