type,id,time_100avg,cost_100avg,fails_100total,visited,repeated,explored
dense,1,0.1429773630000011,243.1,1.0,36.36,1989.88,46.91
dense,2,0.1348304209999935,671.3333333333334,0.79,47.91,1965.44,58.34
dense,3,0.15344720400000028,217.7391304347826,1.0,29.96,1985.89,38.47
dense,4,0.13721046199999706,364.69565217391306,1.0,53.19,1990.64,66.5
dense,5,0.14398758000000045,245.48979591836735,0.35,55.82,1975.19,70.27
dense,6,0.13323383699999794,612.9166666666666,0.5,38.72,1966.89,47.14
dense,7,0.13317064300000767,505.84615384615387,0.74,43.64,1978.28,54.79
dense,8,0.14836676299999682,535.6086956521739,0.77,47.04,1982.41,59.23
dense,9,0.13756768099999817,308.96774193548384,0.23,46.55,1970.35,56.06
dense,10,0.1317155019999973,473.04395604395603,0.62,42.62,1975.37,52.43
sparse,1,0.1427710550000029,286.5238095238095,1.0,33.75,1989.7,44.06
sparse,2,0.13455246200000828,739.3157894736842,0.81,47.51,1966.27,57.79
sparse,3,0.1542795519999936,310.0537634408602,1.0,29.41,1985.95,37.81
sparse,4,0.13542738799998233,543.6354166666666,1.0,52.04,1990.27,65.03
sparse,5,0.14659026699999003,572.6964285714286,0.44,57.66,1975.16,72.47
sparse,6,0.1349243299999921,698.65625,0.49,37.13,1967.3,45.48
sparse,7,0.13350139999999783,615.4444444444445,0.81,42.95,1980.44,54.16
sparse,8,0.15188755199999604,599.9565217391304,0.77,46.96,1982.18,59.23
sparse,9,0.1412195329999986,713.025,0.2,46.54,1970.52,56.11
sparse,10,0.1365368330000001,609.8555555555556,0.65,43.77,1975.6,53.95
