,type,id,class,time_100avg,cost_100avg,fails_100total,visited,repeated,explored
mazes/dense/1a,dense,1,a,0.3746462919999863,-9.128571428571428,0.3,194.49,1805.51,214.48
mazes/dense/1b,dense,1,b,0.3748083839999867,16.092105263157894,0.24,202.8,1797.2,223.06
mazes/dense/1c,dense,1,c,0.3745652780000205,9.435483870967742,0.38,196.84,1803.16,217.41
mazes/dense/2a,dense,2,a,0.37875582900000837,187.31578947368422,0.62,175.06,1824.94,190.27
mazes/dense/2b,dense,2,b,0.40285647699998206,109.23076923076923,0.48,174.64,1825.36,190.37
mazes/dense/2c,dense,2,c,0.388869016999995,186.9206349206349,0.37,170.48,1829.52,186.16
mazes/dense/3a,dense,3,a,0.3898320109999986,127.28048780487805,0.18,180.94,1819.06,197.55
mazes/dense/3b,dense,3,b,0.4006056159999889,9.423076923076923,0.48,179.56,1820.44,196.31
mazes/dense/3c,dense,3,c,0.3956219320000105,56.68333333333333,0.4,185.36,1814.64,202.9
mazes/dense/4a,dense,4,a,0.40418481700002074,30.041666666666668,0.52,184.02,1815.98,202.1
mazes/dense/4b,dense,4,b,0.3843887770000083,99.34482758620689,0.42,187.68,1812.32,205.24
mazes/dense/4c,dense,4,c,0.3817655849999892,19.594594594594593,0.63,188.41,1811.59,205.98
mazes/dense/5a,dense,5,a,0.3844181420000177,41.263888888888886,0.28,184.67,1815.33,202.95
mazes/dense/5b,dense,5,b,0.375800674000011,6.808510638297872,0.53,191.82,1808.18,209.7
mazes/dense/5c,dense,5,c,0.38251778899999406,9.185714285714285,0.3,187.61,1812.39,205.59
mazes/dense/6a,dense,6,a,0.38332533699998295,34.72222222222222,0.46,182.12,1817.88,198.78
mazes/dense/6b,dense,6,b,0.3896348769999986,111.33333333333333,0.7,180.83,1819.17,197.89
mazes/dense/6c,dense,6,c,0.3874998089999872,143.82608695652175,0.31,180.79,1819.21,197.71
mazes/dense/7a,dense,7,a,0.3845398849999947,64.01724137931035,0.42,184.35,1815.65,201.61
mazes/dense/7b,dense,7,b,0.38602382000000945,79.11764705882354,0.32,177.62,1822.38,194.87
mazes/dense/7c,dense,7,c,0.38464535000000066,20.432835820895523,0.33,186.19,1813.81,203.35
mazes/dense/8a,dense,8,a,0.3777779989999726,35.373333333333335,0.25,178.07,1821.93,195.09
mazes/dense/8b,dense,8,b,0.384257470999969,151.73529411764707,0.32,180.68,1819.32,198.27
mazes/dense/8c,dense,8,c,0.3808773659999906,8.85,0.6,179.16,1820.84,196.51
mazes/dense/9a,dense,9,a,0.38337670200000046,80.25,0.44,183.82,1816.18,201.2
mazes/dense/9b,dense,9,b,0.3757619939999904,35.65714285714286,0.65,182.34,1817.66,199.89
mazes/dense/9c,dense,9,c,0.4091316830000278,88.87096774193549,0.38,187.81,1812.19,204.6
mazes/dense/10a,dense,10,a,0.40378001900001437,190.29032258064515,0.38,178.86,1821.14,195.3
mazes/dense/10b,dense,10,b,0.38223155699999095,212.31578947368422,0.43,172.86,1827.14,189.03
mazes/dense/10c,dense,10,c,0.3804388769999923,123.14285714285714,0.44,176.24,1823.76,191.78
mazes/sparse/1a,sparse,1,a,0.37577727099998354,509.3728813559322,0.41,197.74,1802.26,218.08
mazes/sparse/1b,sparse,1,b,0.3824148639999976,569.931506849315,0.27,201.29,1798.71,221.91
mazes/sparse/1c,sparse,1,c,0.38163785600000666,676.2545454545455,0.45,197.71,1802.29,218.49
