,type,id,class,time_100avg,cost_100avg,fails_100total,visited,repeated,explored
mazes/dense/1a,dense,1,a,0.15908486499999996,-168.93846153846152,0.35,223.82,2776.18,253.08
mazes/dense/1b,dense,1,b,0.1628115309999999,-187.37662337662337,0.23,227.75,2772.25,255.73
mazes/dense/1c,dense,1,c,0.16215589100000002,-132.65079365079364,0.37,228.88,2771.12,257.92
mazes/dense/2a,dense,2,a,0.16248355599999975,-413.61224489795916,0.51,196.6,2803.4,217.99
mazes/dense/2b,dense,2,b,0.15792024699999999,-364.38235294117646,0.32,198.26,2801.74,218.79
mazes/dense/2c,dense,2,c,0.1583888249999994,-416.7638888888889,0.28,193.37,2806.63,215.0
mazes/dense/3a,dense,3,a,0.1656644029999991,-146.125,0.12,211.15,2788.85,238.93
mazes/dense/3b,dense,3,b,0.1628548259999998,-165.58441558441558,0.23,209.86,2790.14,239.17
mazes/dense/3c,dense,3,c,0.16481870899999962,-228.24657534246575,0.27,206.34,2793.66,233.87
mazes/dense/4a,dense,4,a,0.16910073999999953,-277.09090909090907,0.45,216.54,2783.46,241.55
mazes/dense/4b,dense,4,b,0.1677933399999992,-276.75757575757575,0.34,213.95,2786.05,238.8
mazes/dense/4c,dense,4,c,0.16305823699999877,-172.6727272727273,0.45,219.2,2780.8,244.09
mazes/dense/5a,dense,5,a,0.16317681100000045,-112.58536585365853,0.18,221.25,2778.75,246.96
mazes/dense/5b,dense,5,b,0.15524543500000249,14.615384615384615,0.48,212.71,2787.29,238.08
mazes/dense/5c,dense,5,c,0.16518265499999957,-81.36708860759494,0.21,218.97,2781.03,244.39
mazes/dense/6a,dense,6,a,0.1624066359999989,-365.3030303030303,0.34,209.38,2790.62,235.9
mazes/dense/6b,dense,6,b,0.17120408499999995,-383.1666666666667,0.52,204.57,2795.43,230.79
mazes/dense/6c,dense,6,c,0.17034049699999743,-448.05263157894734,0.24,211.26,2788.74,238.46
mazes/dense/7a,dense,7,a,0.16658774400000254,-170.9848484848485,0.34,213.8,2786.2,237.38
mazes/dense/7b,dense,7,b,0.1646225830000003,-355.8888888888889,0.28,213.28,2786.72,237.36
