type,id,time_100avg,cost_100avg,fails_100total,visited,repeated,explored
dense,1,0.16282021199999996,123.71428571428571,0.3,231.06,2770.93,248.42
dense,2,0.1624488810000001,505.675,0.6,201.83,2803.36,216.11
dense,3,0.1693027400000004,230.13636363636363,0.4,213.12,2790.51,228.1
dense,4,0.1684875079999992,324.0615384615385,0.53,215.69,2788.1,230.3
dense,5,0.1675763269999993,189.03389830508473,0.41,220.64,2785.12,236.2
dense,6,0.17075649500000395,443.9166666666667,0.64,207.43,2797.55,222.42
dense,7,0.17183852199999933,330.73972602739724,0.38,216.63,2789.7,230.98
dense,8,0.16691388199999835,311.27272727272725,0.45,208.5,2797.1,223.79
dense,9,0.1620297509999989,340.2881355932203,0.41,213.24,2791.55,228.53
dense,10,0.16618398699999715,402.91379310344826,0.42,209.01,2800.92,223.37
sparse,1,0.1856065350000017,1014.9206349206349,0.37,213.14,2792.12,232.6
sparse,2,0.16580188099999305,1217.1967213114754,0.53,184.4,2816.25,199.22
sparse,3,0.17878929300000437,1039.3214285714287,0.44,196.91,2810.47,213.29
sparse,4,0.16980589899999474,1229.0566037735848,0.61,200.43,2804.29,217.04
sparse,5,0.16983291100000314,1207.142857142857,0.51,201.45,2800.94,219.07
sparse,6,0.17911377199999948,1309.875,0.57,194.41,2808.36,210.65
sparse,7,0.1873159770000075,1085.142857142857,0.44,199.93,2804.25,216.1
sparse,8,0.17848252200000275,998.0909090909091,0.49,195.0,2807.09,211.78
sparse,9,0.1699162119999994,1108.3461538461538,0.48,199.08,2805.24,215.47
sparse,10,0.16658845199999972,1218.6923076923076,0.38,191.33,2813.55,208.06
