type,id,time_100avg,cost_100avg,fails_100total,visited,repeated,explored
dense,1,0.15966874000000011,118.19151017214396,0.25666666666666665,228.39666666666668,2771.603333333334,257.0833333333333
dense,2,0.1623883063333335,388.7409544159544,0.3866666666666667,198.00666666666666,2801.9933333333333,219.19000000000003
dense,3,0.16963048866666677,160.56410990469487,0.26666666666666666,207.49333333333334,2792.5066666666667,235.87
dense,4,0.16912820466666703,187.79216269841268,0.45999999999999996,213.0666666666667,2786.933333333333,237.6966666666667
dense,5,0.16056497999999833,122.8330091139851,0.25,219.00666666666666,2780.9933333333333,244.01
dense,6,0.169151724,294.58124536504283,0.37666666666666665,206.29,2793.7100000000005,233.0333333333333
dense,7,0.17681884566666572,223.02952820817208,0.3133333333333333,214.45000000000002,2785.5499999999997,238.11
dense,8,0.16238211733333438,216.85215739412297,0.31666666666666665,206.79333333333332,2793.206666666667,230.62333333333336
dense,9,0.1554872003333325,300.5430153734948,0.3233333333333333,212.55999999999997,2787.44,239.42333333333332
dense,10,0.1544515863333343,368.3051306378631,0.3499999999999999,202.62,2797.3799999999997,228.51333333333332
sparse,1,0.15541744300000082,873.0728758169935,0.30000000000000004,215.04333333333332,2784.9566666666665,244.9333333333333
sparse,2,0.15849082366667136,1150.6493970059003,0.4633333333333334,184.91333333333333,2815.0866666666666,206.20333333333335
sparse,3,0.1748437596666698,839.146187121493,0.30333333333333334,193.44333333333336,2806.556666666667,222.16333333333333
sparse,4,0.16684453166666458,1105.1681427304964,0.4633333333333334,195.23333333333335,2804.766666666667,220.16
sparse,5,0.16331337333333484,1012.7045066229831,0.31,199.41,2800.5899999999997,225.74666666666667
sparse,6,0.1701587710000024,1167.4475371999565,0.47333333333333333,193.2733333333333,2806.726666666667,220.26333333333332
sparse,7,0.17031584699999636,1069.7465217721456,0.38000000000000006,196.96666666666667,2803.0333333333333,221.62333333333333
sparse,8,0.16385743333333078,918.5383895831774,0.35333333333333333,190.31000000000003,2809.69,214.71333333333334
sparse,9,0.1618132450000015,1063.1518314225973,0.38333333333333336,198.65,2801.35,225.73333333333335
sparse,10,0.16650864466666537,1223.0072219547421,0.3466666666666667,188.85999999999999,2811.14,215.5533333333333
