type,id,time_100avg,cost_100avg,fails_100total,visited,repeated,explored
dense,1,0.15599667000000006,83.36619718309859,0.2,225.87,2767.23,254.41
dense,2,0.16089661899999969,272.18333333333334,0.28,196.0,2800.52,216.9
dense,3,0.16729874600000003,151.53225806451613,0.11,202.08,2788.92,230.72
dense,4,0.16469543500000156,93.0952380952381,0.36,211.92,2784.85,236.38
dense,5,0.15500723599999702,33.794871794871796,0.14,213.86,2777.41,238.11
dense,6,0.16570618699999728,224.7594936708861,0.21,204.5,2791.52,231.34
dense,7,0.16893055000000004,195.86764705882354,0.29,213.27,2783.99,236.48
dense,8,0.16161862400000018,166.64634146341464,0.18,204.29,2788.38,227.83
dense,9,0.15167626299999826,244.013698630137,0.26,210.34,2784.6,237.16
dense,10,0.15192529999999976,343.27941176470586,0.32,201.08,2795.4,226.98
sparse,1,0.15403966000000252,700.7333333333333,0.25,213.43,2782.24,242.63
sparse,2,0.15350874600001022,1128.3731343283582,0.33,184.52,2814.52,205.67
sparse,3,0.16920743900000162,771.5977011494252,0.13,190.27,2803.95,218.07
sparse,4,0.16616593899999998,942.421875,0.36,193.97,2803.07,218.74
sparse,5,0.15885879600000066,810.0394736842105,0.17,192.82,2795.64,219.12
sparse,6,0.16951461499999368,1123.490909090909,0.28,188.95,2802.06,214.94
sparse,7,0.1694415169999968,879.448275862069,0.33,195.53,2800.3,219.75
sparse,8,0.16115312999999332,732.8915662650602,0.17,188.96,2808.14,212.71
sparse,9,0.15535064300000045,939.5833333333334,0.28,196.88,2800.07,223.88
sparse,10,0.16037487899999292,1171.2903225806451,0.33,186.45,2808.67,213.12
