type,id,time_100avg,cost_100avg,fails_100total
dense,1,0.0011664486503286753,15.0,0.0
dense,2,0.0022810741293506,24.0,0.0
dense,3,0.004257562929487904,5.0,0.0
dense,4,0.003265614230040228,27.0,0.0
dense,5,0.0026899470000353175,25.0,0.0
dense,6,0.002307288250012789,17.0,0.0
dense,7,0.003245812510504038,27.0,0.0
dense,8,0.0015997982597764349,17.0,0.0
dense,9,0.0021375983300822555,19.0,0.0
dense,10,0.0022152647499751764,18.0,0.0
sparse,1,0.0011092921895033215,15.0,0.0
sparse,2,0.0021463338296598524,24.0,0.0
sparse,3,0.004201126550105983,5.0,0.0
sparse,4,0.0028137026903277728,27.0,0.0
sparse,5,0.0025661679296172225,25.0,0.0
sparse,6,0.0022563837901543593,17.0,0.0
sparse,7,0.0031186868400982348,27.0,0.0
sparse,8,0.0015971447896299651,17.0,0.0
sparse,9,0.0025063072003104025,19.0,0.0
sparse,10,0.00179180640996492,18.0,0.0
