,type,id,class,time_100avg,cost_100avg,fails_100total
mazes/dense/1a,dense,1,a,0.09242222517015762,-699.0,0.0
mazes/dense/1b,dense,1,b,0.3621038857398526,-1684.0,0.0
mazes/dense/1c,dense,1,c,0.12955377377016702,-783.0,0.0
mazes/dense/2a,dense,2,a,0.5155326096600038,-1610.0,0.0
mazes/dense/2b,dense,2,b,0.08307259175962826,-756.0,0.0
mazes/dense/2c,dense,2,c,0.32636235701960686,-1170.0,0.0
mazes/dense/3a,dense,3,a,0.0313964312702592,-223.0,0.0
mazes/dense/3b,dense,3,b,0.03966447608014278,-408.0,0.0
mazes/dense/3c,dense,3,c,0.2012124827196385,-1109.0,0.0
mazes/dense/4a,dense,4,a,0.1625573713700578,-1126.0,0.0
mazes/dense/4b,dense,4,b,0.13022417876949477,-931.0,0.0
mazes/dense/4c,dense,4,c,0.03441973918976146,-385.0,0.0
mazes/dense/5a,dense,5,a,0.31642145436992,-1769.0,0.0
mazes/dense/5b,dense,5,b,0.029864510030383828,-318.0,0.0
mazes/dense/5c,dense,5,c,0.18427074641054786,-1409.0,0.0
mazes/dense/6a,dense,6,a,0.5587862867696822,-1817.0,0.0
mazes/dense/6b,dense,6,b,0.31031672187004006,-1619.0,0.0
mazes/dense/6c,dense,6,c,0.11837446163975983,-903.0,0.0
mazes/dense/7a,dense,7,a,0.578019318079896,-1797.0,0.0
mazes/dense/7b,dense,7,b,0.06604485909047071,-664.0,0.0
mazes/dense/7c,dense,7,c,0.13764456134980718,-737.0,0.0
mazes/dense/8a,dense,8,a,0.10344084965981892,-886.0,0.0
mazes/dense/8b,dense,8,b,0.2027885051904741,-1152.0,0.0
mazes/dense/8c,dense,8,c,0.33879409528039106,-1675.0,0.0
mazes/dense/9a,dense,9,a,0.17360790731014275,-1470.0,0.0
mazes/dense/9b,dense,9,b,0.6274443304399029,-1731.0,0.0
mazes/dense/9c,dense,9,c,0.33753984878989285,-1714.0,0.0
mazes/dense/10a,dense,10,a,0.16864424057042926,-844.0,0.0
mazes/dense/10b,dense,10,b,0.14057193408014426,-797.0,0.0
mazes/dense/10c,dense,10,c,0.4295367467799224,-1801.0,0.0
mazes/sparse/1a,sparse,1,a,0.0647932214600587,-166.0,0.0
mazes/sparse/1b,sparse,1,b,0.12819739762009705,-230.0,0.0
mazes/sparse/1c,sparse,1,c,0.47616346165035794,-416.0,0.0
mazes/sparse/2a,sparse,2,a,0.44495513922011015,-412.0,0.0
mazes/sparse/2b,sparse,2,b,0.3868642980905133,-291.0,0.0
mazes/sparse/2c,sparse,2,c,0.10780175820036675,-162.0,0.0
mazes/sparse/3a,sparse,3,a,0.33125566722010263,-307.0,0.0
mazes/sparse/3b,sparse,3,b,0.21989899626991247,-287.0,0.0
mazes/sparse/3c,sparse,3,c,0.14993207359955704,-222.0,0.0
mazes/sparse/4a,sparse,4,a,0.1639693594995333,-188.0,0.0
mazes/sparse/4b,sparse,4,b,0.45583593757037305,-292.0,0.0
mazes/sparse/4c,sparse,4,c,1.3794870564401207,-302.0,0.0
mazes/sparse/5a,sparse,5,a,0.10921155841017026,-119.0,0.0
mazes/sparse/5b,sparse,5,b,0.1076904780798941,-130.0,0.0
mazes/sparse/5c,sparse,5,c,0.07953959907958051,-109.0,0.0
mazes/sparse/6a,sparse,6,a,0.33911584307061277,-248.0,0.0
mazes/sparse/6b,sparse,6,b,0.17888748958001088,-138.0,0.0
mazes/sparse/6c,sparse,6,c,0.7603762814199581,-318.0,0.0
mazes/sparse/7a,sparse,7,a,0.4748528958702082,-260.0,0.0
mazes/sparse/7b,sparse,7,b,0.07986146431059751,-218.0,0.0
mazes/sparse/7c,sparse,7,c,0.24652273358995444,-238.0,0.0
mazes/sparse/8a,sparse,8,a,0.2637868416198035,-257.0,0.0
mazes/sparse/8b,sparse,8,b,0.184870230499655,-201.0,0.0
mazes/sparse/8c,sparse,8,c,0.45761752128004446,-425.0,0.0
mazes/sparse/9a,sparse,9,a,0.03707425656983105,-98.0,0.0
mazes/sparse/9b,sparse,9,b,0.13922980799012294,-164.0,0.0
mazes/sparse/9c,sparse,9,c,0.15690385393972975,-164.0,0.0
mazes/sparse/10a,sparse,10,a,0.18734703904956404,-162.0,0.0
mazes/sparse/10b,sparse,10,b,0.2820932451997942,-278.0,0.0
mazes/sparse/10c,sparse,10,c,0.5520705860001908,-337.0,0.0
