type,id,time_100avg,cost_100avg,fails_100total
dense,1,0.0014043294201110258,-5.0,0.0
dense,2,0.003373641559810494,105.0,0.0
dense,3,0.0012988372199470178,-3.0,0.0
dense,4,0.00383881717978511,105.0,0.0
dense,5,0.0011905965598270995,1.0,0.0
dense,6,0.0030238150102377404,63.0,0.0
dense,7,0.002836273409993737,126.0,0.0
dense,8,0.0031984087597811597,103.0,0.0
dense,9,0.0016464994198031491,94.0,0.0
dense,10,0.0032806761201209155,49.0,0.0
sparse,1,0.0014101353198930156,-5.0,0.0
sparse,2,0.0033922109598643144,-19.0,0.0
sparse,3,0.0012858257292828058,-3.0,0.0
sparse,4,0.003878793559561018,5.0,0.0
sparse,5,0.0012189983000280335,1.0,0.0
sparse,6,0.0029909546993440016,-17.0,0.0
sparse,7,0.0028115362895914588,3.0,0.0
sparse,8,0.0031640811599208973,15.0,0.0
sparse,9,0.0016376449797826354,11.0,0.0
sparse,10,0.0032639183502760714,-1.0,0.0
