,type,id,class,time_1avg,cost_1avg,fails_1total
mazes/dense/1a,dense,1,a,0.9400282920032623,1274.0,0.0
mazes/dense/1b,dense,1,b,3.70990360200085,1800.0,0.0
mazes/dense/1c,dense,1,c,0.5406757849996211,1071.0,0.0
mazes/dense/2a,dense,2,a,1.927468456000497,1442.0,0.0
mazes/dense/2b,dense,2,b,0.32862305200251285,756.0,0.0
mazes/dense/2c,dense,2,c,1.1505881710036192,1170.0,0.0
mazes/dense/3a,dense,3,a,0.0363937319998513,-3.0,0.0
mazes/dense/3b,dense,3,b,0.150936702004401,416.0,0.0
mazes/dense/3c,dense,3,c,0.9975603549974039,1011.0,0.0
mazes/dense/4a,dense,4,a,2.7977456280059414,1511.0,0.0
mazes/dense/4b,dense,4,b,5.9238938209964545,1595.0,0.0
mazes/dense/4c,dense,4,c,9.711542072000157,1663.0,0.0
mazes/dense/5a,dense,5,a,6.201767503000156,1634.0,0.0
mazes/dense/5b,dense,5,b,1.5467120619941852,1289.0,0.0
mazes/dense/5c,dense,5,c,0.5228262749951682,1193.0,0.0
mazes/dense/6a,dense,6,a,1.4507968429970788,1376.0,0.0
mazes/dense/6b,dense,6,b,12.242597190997913,1581.0,0.0
mazes/dense/6c,dense,6,c,0.9107869230065262,1320.0,0.0
mazes/dense/7a,dense,7,a,3.3194459240039578,1516.0,0.0
mazes/dense/7b,dense,7,b,0.20300488200155087,498.0,0.0
mazes/dense/7c,dense,7,c,3.3970705850006198,1631.0,0.0
mazes/dense/8a,dense,8,a,0.401282706996426,886.0,0.0
mazes/dense/8b,dense,8,b,0.7824114250033745,1153.0,0.0
mazes/dense/8c,dense,8,c,0.46158068800286856,766.0,0.0
mazes/dense/9a,dense,9,a,1.0168505490000825,1587.0,0.0
mazes/dense/9b,dense,9,b,1.5783172059964272,1659.0,0.0
mazes/dense/9c,dense,9,c,0.29545416500332067,662.0,0.0
mazes/dense/10a,dense,10,a,2.360508559999289,1510.0,0.0
mazes/dense/10b,dense,10,b,1.3920074999987264,1563.0,0.0
mazes/dense/10c,dense,10,c,1.8358241620007902,1544.0,0.0
mazes/sparse/1a,sparse,1,a,34.06424437899841,-346.0,0.0
mazes/sparse/1b,sparse,1,b,8.264977883001848,-65.0,0.0
mazes/sparse/1c,sparse,1,c,11.763418351001746,-283.0,0.0
mazes/sparse/2a,sparse,2,a,1.0068689930049004,234.0,0.0
mazes/sparse/2b,sparse,2,b,0.4068413640052313,106.0,0.0
mazes/sparse/2c,sparse,2,c,0.8379901000007521,138.0,0.0
mazes/sparse/3a,sparse,3,a,0.03794099299557274,-3.0,0.0
mazes/sparse/3b,sparse,3,b,1.0120105569949374,59.0,0.0
mazes/sparse/3c,sparse,3,c,36.59737308199692,-514.0,0.0
mazes/sparse/4a,sparse,4,a,4.99163249200501,-31.0,0.0
mazes/sparse/4b,sparse,4,b,17.543161093999515,-405.0,0.0
mazes/sparse/4c,sparse,4,c,36.43262724899978,-453.0,0.0
mazes/sparse/5a,sparse,5,a,7.330183625002974,28.0,0.0
mazes/sparse/5b,sparse,5,b,0.8315235080008279,40.0,0.0
mazes/sparse/5c,sparse,5,c,18.054967832998955,-205.0,0.0
mazes/sparse/6a,sparse,6,a,1.445191042002989,38.0,0.0
mazes/sparse/6b,sparse,6,b,43.72805512600462,-627.0,0.0
mazes/sparse/6c,sparse,6,c,29.706542572996113,-465.0,0.0
mazes/sparse/7a,sparse,7,a,3.574150644002657,-59.0,0.0
mazes/sparse/7b,sparse,7,b,0.418986947996018,88.0,0.0
mazes/sparse/7c,sparse,7,c,3.606186848002835,-54.0,0.0
mazes/sparse/8a,sparse,8,a,2.821650645993941,126.0,0.0
mazes/sparse/8b,sparse,8,b,0.10822933099552756,23.0,0.0
mazes/sparse/8c,sparse,8,c,2.139758648998395,37.0,0.0
mazes/sparse/9a,sparse,9,a,10.400538170004438,-212.0,0.0
mazes/sparse/9b,sparse,9,b,0.3745618340035435,91.0,0.0
mazes/sparse/9c,sparse,9,c,5.776178121996054,-32.0,0.0
mazes/sparse/10a,sparse,10,a,3.0940114179975353,-17.0,0.0
mazes/sparse/10b,sparse,10,b,11.89137745500193,-50.0,0.0
mazes/sparse/10c,sparse,10,c,2.0435892079985933,180.0,0.0
