type,id,time_1avg,cost_1avg,fails_1total
dense,1,3.70990360200085,1800.0,0.0
dense,2,1.927468456000497,1442.0,0.0
dense,3,0.9975603549974039,1011.0,0.0
dense,4,9.711542072000157,1663.0,0.0
dense,5,6.201767503000156,1634.0,0.0
dense,6,12.242597190997913,1581.0,0.0
dense,7,3.3970705850006198,1631.0,0.0
dense,8,0.7824114250033745,1153.0,0.0
dense,9,1.5783172059964272,1659.0,0.0
dense,10,2.360508559999289,1563.0,0.0
sparse,1,34.06424437899841,-65.0,0.0
sparse,2,1.0068689930049004,234.0,0.0
sparse,3,36.59737308199692,59.0,0.0
sparse,4,36.43262724899978,-31.0,0.0
sparse,5,18.054967832998955,40.0,0.0
sparse,6,43.72805512600462,38.0,0.0
sparse,7,3.606186848002835,88.0,0.0
sparse,8,2.821650645993941,126.0,0.0
sparse,9,10.400538170004438,91.0,0.0
sparse,10,11.89137745500193,180.0,0.0
