,type,id,class,time_1avg,score_1avg,fails_1total,visited,repeated,explored
mazes/dense/1a,dense,1,a,0.011205664995941333,108.0,0.0,71.0,0.0,86.0
mazes/dense/1b,dense,1,b,0.01630497700534761,-5.0,0.0,105.0,0.0,119.0
mazes/dense/1c,dense,1,c,0.025394804004463367,105.0,0.0,225.0,0.0,256.0
mazes/dense/2a,dense,2,a,0.02621348199318163,105.0,0.0,241.0,0.0,258.0
mazes/dense/2b,dense,2,b,0.02103070999146439,215.0,0.0,205.0,0.0,224.0
mazes/dense/2c,dense,2,c,0.012980469007743523,111.0,0.0,145.0,0.0,167.0
mazes/dense/3a,dense,3,a,0.0056554569891886786,-3.0,0.0,57.0,0.0,66.0
mazes/dense/3b,dense,3,b,0.009211629992933013,135.0,0.0,93.0,0.0,121.0
mazes/dense/3c,dense,3,c,0.01409708900609985,135.0,0.0,114.0,0.0,145.0
mazes/dense/4a,dense,4,a,0.023966273001860827,217.0,0.0,261.0,0.0,280.0
mazes/dense/4b,dense,4,b,0.007826330009265803,113.0,0.0,77.0,0.0,91.0
mazes/dense/4c,dense,4,c,0.008222959004342556,162.0,0.0,71.0,0.0,89.0
mazes/dense/5a,dense,5,a,0.0100228349911049,143.0,0.0,98.0,0.0,110.0
mazes/dense/5b,dense,5,b,0.02968759099894669,270.0,0.0,286.0,0.0,301.0
mazes/dense/5c,dense,5,c,0.0028811569936806336,1.0,0.0,30.0,0.0,37.0
mazes/dense/6a,dense,6,a,0.017285338006331585,162.0,0.0,152.0,0.0,179.0
mazes/dense/6b,dense,6,b,0.02926756600209046,153.0,0.0,276.0,0.0,297.0
mazes/dense/6c,dense,6,c,0.030418688009376638,136.0,0.0,253.0,0.0,280.0
mazes/dense/7a,dense,7,a,0.01189758098917082,123.0,0.0,114.0,0.0,130.0
mazes/dense/7b,dense,7,b,0.027521397001692094,241.0,0.0,259.0,0.0,275.0
mazes/dense/7c,dense,7,c,0.011565417007659562,152.0,0.0,124.0,0.0,141.0
mazes/dense/8a,dense,8,a,0.0025662429980002344,3.0,0.0,27.0,0.0,35.0
mazes/dense/8b,dense,8,b,0.027579506000620313,198.0,0.0,214.0,0.0,240.0
mazes/dense/8c,dense,8,c,0.022593754998524673,171.0,0.0,190.0,0.0,222.0
mazes/dense/9a,dense,9,a,0.020780398001079448,216.0,0.0,176.0,0.0,208.0
mazes/dense/9b,dense,9,b,0.025570664001861587,183.0,0.0,227.0,0.0,255.0
mazes/dense/9c,dense,9,c,0.005042322009103373,94.0,0.0,51.0,0.0,65.0
mazes/dense/10a,dense,10,a,0.015942291996907443,49.0,0.0,156.0,0.0,176.0
mazes/dense/10b,dense,10,b,0.02750421699602157,182.0,0.0,235.0,0.0,261.0
mazes/dense/10c,dense,10,c,0.018513634000555612,91.0,0.0,159.0,0.0,187.0
mazes/sparse/1a,sparse,1,a,0.01227486299467273,38.0,0.0,71.0,0.0,86.0
mazes/sparse/1b,sparse,1,b,0.012869141006376594,-5.0,0.0,105.0,0.0,119.0
mazes/sparse/1c,sparse,1,c,0.028681878000497818,25.0,0.0,225.0,0.0,256.0
mazes/sparse/2a,sparse,2,a,0.0375626699969871,55.0,0.0,241.0,0.0,258.0
mazes/sparse/2b,sparse,2,b,0.024431833997368813,35.0,0.0,205.0,0.0,224.0
mazes/sparse/2c,sparse,2,c,0.015501385001698509,1.0,0.0,145.0,0.0,167.0
mazes/sparse/3a,sparse,3,a,0.00604601000668481,-3.0,0.0,57.0,0.0,66.0
