type,id,time_1avg,score_1avg,fails_1total,visited,repeated,explored
dense,1,0.025394804004463367,108.0,0.0,225.0,0.0,256.0
dense,2,0.02621348199318163,215.0,0.0,241.0,0.0,258.0
dense,3,0.01409708900609985,135.0,0.0,114.0,0.0,145.0
dense,4,0.023966273001860827,217.0,0.0,261.0,0.0,280.0
dense,5,0.02968759099894669,270.0,0.0,286.0,0.0,301.0
dense,6,0.030418688009376638,162.0,0.0,276.0,0.0,297.0
dense,7,0.027521397001692094,241.0,0.0,259.0,0.0,275.0
dense,8,0.027579506000620313,198.0,0.0,214.0,0.0,240.0
dense,9,0.025570664001861587,216.0,0.0,227.0,0.0,255.0
dense,10,0.02750421699602157,182.0,0.0,235.0,0.0,261.0
sparse,1,0.028681878000497818,38.0,0.0,225.0,0.0,256.0
sparse,2,0.0375626699969871,55.0,0.0,241.0,0.0,258.0
sparse,3,0.01378105700132437,45.0,0.0,114.0,0.0,145.0
sparse,4,0.026561151011264883,47.0,0.0,261.0,0.0,280.0
sparse,5,0.030076256996835582,70.0,0.0,286.0,0.0,301.0
sparse,6,0.0308556139934808,22.0,0.0,276.0,0.0,297.0
sparse,7,0.0278370790038025,91.0,0.0,259.0,0.0,275.0
sparse,8,0.022418313004891388,38.0,0.0,214.0,0.0,240.0
sparse,9,0.02286934800213203,43.0,0.0,227.0,0.0,255.0
sparse,10,0.024423453010967933,32.0,0.0,235.0,0.0,261.0
