type,id,time_1avg,score_1avg,fails_1total,visited,repeated,explored
dense,1,0.011205664995941333,-5.0,0.0,71.0,0.0,86.0
dense,2,0.012980469007743523,105.0,0.0,145.0,0.0,167.0
dense,3,0.0056554569891886786,-3.0,0.0,57.0,0.0,66.0
dense,4,0.007826330009265803,113.0,0.0,71.0,0.0,89.0
dense,5,0.0028811569936806336,1.0,0.0,30.0,0.0,37.0
dense,6,0.017285338006331585,136.0,0.0,152.0,0.0,179.0
dense,7,0.011565417007659562,123.0,0.0,114.0,0.0,130.0
dense,8,0.0025662429980002344,3.0,0.0,27.0,0.0,35.0
dense,9,0.005042322009103373,94.0,0.0,51.0,0.0,65.0
dense,10,0.015942291996907443,49.0,0.0,156.0,0.0,176.0
sparse,1,0.01227486299467273,-5.0,0.0,71.0,0.0,86.0
sparse,2,0.015501385001698509,1.0,0.0,145.0,0.0,167.0
sparse,3,0.00604601000668481,-3.0,0.0,57.0,0.0,66.0
sparse,4,0.007632380991708487,13.0,0.0,71.0,0.0,89.0
sparse,5,0.0024588980013504624,1.0,0.0,30.0,0.0,37.0
sparse,6,0.01787898800102994,3.0,0.0,152.0,0.0,179.0
sparse,7,0.013524948997655883,22.0,0.0,114.0,0.0,130.0
sparse,8,0.002531602993258275,3.0,0.0,27.0,0.0,35.0
sparse,9,0.005519128011655994,34.0,0.0,51.0,0.0,65.0
sparse,10,0.015900946003966965,-1.0,0.0,156.0,0.0,176.0
