,type,id,class,time_1avg,cost_1avg,fails_1total
mazes/dense/1a,dense,1,a,0.002452783999615349,332.0,0.0
mazes/dense/1b,dense,1,b,0.0026318540039937943,563.0,0.0
mazes/dense/1c,dense,1,c,0.006335187004879117,992.0,0.0
mazes/dense/2a,dense,2,a,0.005794841010356322,363.0,0.0
mazes/dense/2b,dense,2,b,0.002392228998360224,422.0,0.0
mazes/dense/2c,dense,2,c,0.0052977129962528124,614.0,0.0
mazes/dense/3a,dense,3,a,0.002653323012054898,247.0,0.0
mazes/dense/3b,dense,3,b,0.00575657699664589,544.0,0.0
mazes/dense/3c,dense,3,c,0.0056621080002514645,925.0,0.0
mazes/dense/4a,dense,4,a,0.004967834000126459,752.0,0.0
mazes/dense/4b,dense,4,b,0.002832393001881428,560.0,0.0
mazes/dense/4c,dense,4,c,0.004430732995388098,662.0,0.0
mazes/dense/5a,dense,5,a,0.0016840659955050796,495.0,0.0
mazes/dense/5b,dense,5,b,0.001830615001381375,270.0,0.0
mazes/dense/5c,dense,5,c,0.0016879199974937364,205.0,0.0
mazes/dense/6a,dense,6,a,0.004310823991545476,575.0,0.0
mazes/dense/6b,dense,6,b,0.003867805004119873,754.0,0.0
mazes/dense/6c,dense,6,c,0.0027562149916775525,630.0,0.0
mazes/dense/7a,dense,7,a,0.008168743996066041,752.0,0.0
mazes/dense/7b,dense,7,b,0.006589822005480528,966.0,0.0
mazes/dense/7c,dense,7,c,0.0043201099906582385,715.0,0.0
mazes/dense/8a,dense,8,a,0.0007853569986764342,103.0,0.0
mazes/dense/8b,dense,8,b,0.006908534007379785,791.0,0.0
mazes/dense/8c,dense,8,c,0.006644225999480113,589.0,0.0
mazes/dense/9a,dense,9,a,0.0041394089930690825,839.0,0.0
mazes/dense/9b,dense,9,b,0.005414890008978546,1108.0,0.0
mazes/dense/9c,dense,9,c,0.008290313999168575,551.0,0.0
mazes/dense/10a,dense,10,a,0.0011806409893324599,193.0,0.0
mazes/dense/10b,dense,10,b,0.0030759880028199404,717.0,0.0
mazes/dense/10c,dense,10,c,0.0035223899903940037,657.0,0.0
mazes/sparse/1a,sparse,1,a,0.0012273879983695224,112.0,0.0
mazes/sparse/1b,sparse,1,b,0.002728127990849316,153.0,0.0
mazes/sparse/1c,sparse,1,c,0.0052984429930802435,162.0,0.0
mazes/sparse/2a,sparse,2,a,0.005735143990023062,103.0,0.0
mazes/sparse/2b,sparse,2,b,0.0021800639951834455,72.0,0.0
mazes/sparse/2c,sparse,2,c,0.005077363006421365,74.0,0.0
mazes/sparse/3a,sparse,3,a,0.0022626370046054944,47.0,0.0
mazes/sparse/3b,sparse,3,b,0.002256519001093693,4.0,0.0
mazes/sparse/3c,sparse,3,c,0.006316137005342171,115.0,0.0
mazes/sparse/4a,sparse,4,a,0.00382745498791337,172.0,0.0
mazes/sparse/4b,sparse,4,b,0.002503078998415731,110.0,0.0
mazes/sparse/4c,sparse,4,c,0.006676396995317191,102.0,0.0
mazes/sparse/5a,sparse,5,a,0.0015582210035063326,45.0,0.0
mazes/sparse/5b,sparse,5,b,0.0010692659998312593,70.0,0.0
mazes/sparse/5c,sparse,5,c,0.00180985098995734,75.0,0.0
mazes/sparse/6a,sparse,6,a,0.004115998002816923,55.0,0.0
mazes/sparse/6b,sparse,6,b,0.0042494670051382855,74.0,0.0
mazes/sparse/6c,sparse,6,c,0.002728963998379186,60.0,0.0
mazes/sparse/7a,sparse,7,a,0.0039147510105976835,162.0,0.0
mazes/sparse/7b,sparse,7,b,0.007311146997381002,146.0,0.0
mazes/sparse/7c,sparse,7,c,0.004727614999865182,35.0,0.0
mazes/sparse/8a,sparse,8,a,0.0007841470069251955,23.0,0.0
mazes/sparse/8b,sparse,8,b,0.005691162994480692,101.0,0.0
mazes/sparse/8c,sparse,8,c,0.006374848002451472,119.0,0.0
mazes/sparse/9a,sparse,9,a,0.004203306001727469,99.0,0.0
mazes/sparse/9b,sparse,9,b,0.005427722004242241,198.0,0.0
mazes/sparse/9c,sparse,9,c,0.006297493004240096,91.0,0.0
mazes/sparse/10a,sparse,10,a,0.0017239729932043701,13.0,0.0
mazes/sparse/10b,sparse,10,b,0.0034309999900870025,117.0,0.0
mazes/sparse/10c,sparse,10,c,0.0030678269977215677,157.0,0.0
