type,id,time_1avg,cost_1avg,fails_1total,visited,repeated,explored
dense,1,0.3184089709975524,537.0,0.0,286.0,0.0,305.0
dense,2,0.2278081709991966,423.0,0.0,221.0,0.0,241.0
dense,3,0.26757798600010574,432.0,0.0,228.0,0.0,256.0
dense,4,0.2617578389981645,465.0,0.0,232.0,0.0,253.0
dense,5,0.3061879480010248,783.0,0.0,252.0,0.0,271.0
dense,6,0.2733727109989559,469.0,0.0,233.0,0.0,261.0
dense,7,0.26438037600019015,675.0,0.0,229.0,0.0,251.0
dense,8,0.274913266999647,513.0,0.0,229.0,0.0,252.0
dense,9,0.246470299000066,477.0,0.0,230.0,0.0,255.0
dense,10,0.23909814100261428,684.0,0.0,226.0,0.0,249.0
sparse,1,0.11636633700254606,154.0,0.0,197.0,0.0,239.0
sparse,2,0.07650936000209185,146.0,0.0,184.0,0.0,210.0
sparse,3,0.07347245599885355,75.0,0.0,162.0,0.0,203.0
sparse,4,0.10783572299988009,115.0,0.0,244.0,0.0,271.0
sparse,5,0.10497076699903118,97.0,0.0,208.0,0.0,243.0
sparse,6,0.08984588599923882,54.0,0.0,197.0,0.0,234.0
sparse,7,0.08516652599791996,111.0,0.0,172.0,0.0,205.0
sparse,8,0.10826175400143256,104.0,0.0,250.0,0.0,274.0
sparse,9,0.0902041029985412,124.0,0.0,201.0,0.0,237.0
sparse,10,0.07407441599934828,82.0,0.0,175.0,0.0,206.0
